"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,0.452003671408572
1.57542,0,-170,3.75475360581205
1.57542,0,-160,3.27880674042936
1.57542,0,-150,21.7738097146133
1.57542,0,-140,12.6562147375342
1.57542,0,-130,9.62913395548554
1.57542,0,-120,9.93058399025435
1.57542,0,-110,10.6128428517853
1.57542,0,-100,10.9712153453799
1.57542,0,-90,10.7131272801274
1.57542,0,-80,9.79228746026743
1.57542,0,-70,8.4316249499449
1.57542,0,-60,6.92252737784397
1.57542,0,-50,5.48927533456607
1.57542,0,-40,4.278758683835
1.57542,0,-30,3.26643200254626
1.57542,0,-20,2.01796971563194
1.57542,0,-10,10.2326854346054
1.57542,0,0,8.21469094827132
1.57542,0,10,17.5274601915325
1.57542,0,20,5.05948701086444
1.57542,0,30,5.156952343962
1.57542,0,40,5.85206452804232
1.57542,0,50,6.89394054411925
1.57542,0,60,8.23398562460435
1.57542,0,70,9.7416584029617
1.57542,0,80,11.1954710620097
1.57542,0,90,12.2689318353476
1.57542,0,100,12.6873541900011
1.57542,0,110,12.4903832887417
1.57542,0,120,11.9771606381165
1.57542,0,130,11.7039983368156
1.57542,0,140,14.4072696634811
1.57542,0,150,21.6758159285009
1.57542,0,160,6.28232109373262
1.57542,0,170,3.67438438017559
1.57542,0,180,0.452003671408572
