"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,5.33270418304601
1.57542,0,-170,10.8733902403431
1.57542,0,-160,17.0754130606196
1.57542,0,-150,49.6772638039768
1.57542,0,-140,13.2095830134352
1.57542,0,-130,14.5512720045664
1.57542,0,-120,18.0650172688435
1.57542,0,-110,21.077616939814
1.57542,0,-100,23.4452066237346
1.57542,0,-90,24.7285657358917
1.57542,0,-80,24.6971987187608
1.57542,0,-70,24.3710759974365
1.57542,0,-60,28.371425089523
1.57542,0,-50,11.2055875530964
1.57542,0,-40,11.5727795891702
1.57542,0,-30,9.99055588030836
1.57542,0,-20,9.76712269829852
1.57542,0,-10,9.72384280549116
1.57542,0,0,9.92530033083331
1.57542,0,10,10.4422910093737
1.57542,0,20,11.4351245624445
1.57542,0,30,13.4182451727619
1.57542,0,40,24.1700737702046
1.57542,0,50,12.4068619401618
1.57542,0,60,14.2597365825069
1.57542,0,70,16.7326711967534
1.57542,0,80,19.2889825282604
1.57542,0,90,21.8654049353738
1.57542,0,100,24.2866692021363
1.57542,0,110,27.043931809504
1.57542,0,120,37.6178323237233
1.57542,0,130,20.4550725604187
1.57542,0,140,12.7045921953165
1.57542,0,150,19.1739238082819
1.57542,0,160,28.872537239239
1.57542,0,170,7.29446518293076
1.57542,0,180,5.33270418304601
