"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-27.86829510527,-34.1134504697061
1.57542,0,-170,-29.0802963738102,-28.7102991117865
1.57542,0,-160,-22.4570170747248,-27.2136452229065
1.57542,0,-150,-19.8550848745687,-29.5126056584566
1.57542,0,-140,-18.3091331816463,-23.663962491914
1.57542,0,-130,-17.2835089592241,-19.4590097461863
1.57542,0,-120,-16.7879273988462,-17.242965827108
1.57542,0,-110,-16.4056590500373,-15.6985368877997
1.57542,0,-100,-15.5756557733002,-14.216723419308
1.57542,0,-90,-13.9482111037165,-12.6199707934327
1.57542,0,-80,-11.5507797869345,-10.9333816207119
1.57542,0,-70,-8.71926185141402,-9.29744680438104
1.57542,0,-60,-5.88490827960684,-7.92998941110079
1.57542,0,-50,-3.41623257334129,-7.07901819201022
1.57542,0,-40,-1.58327915259541,-6.96474639059794
1.57542,0,-30,-0.58208089511404,-7.6909125781383
1.57542,0,-20,-0.543560441222886,-9.0043026977148
1.57542,0,-10,-1.39538298169108,-9.77752900458362
1.57542,0,0,-2.36740465714558,-9.06921690956963
1.57542,0,10,-2.14165134017652,-8.14037950120861
1.57542,0,20,-1.13562617538176,-8.01421338427415
1.57542,0,30,-0.60581251834079,-8.71493991066725
1.57542,0,40,-0.95370524779807,-10.1342229425764
1.57542,0,50,-2.10254256015273,-12.2925141148332
1.57542,0,60,-3.82665215893053,-15.0857055487837
1.57542,0,70,-5.85432466908299,-18.0589005071781
1.57542,0,80,-7.91847197896347,-20.545848903035
1.57542,0,90,-9.79821504245193,-22.294414505069
1.57542,0,100,-11.3582465296754,-23.5466929135797
1.57542,0,110,-12.5757920088472,-24.2968481705456
1.57542,0,120,-13.5680053516152,-24.1971597794692
1.57542,0,130,-14.7127900669477,-23.7617265267389
1.57542,0,140,-16.8414840916695,-24.4714403865476
1.57542,0,150,-21.1768767164292,-26.705790672518
1.57542,0,160,-25.331455332688,-26.9283686702167
1.57542,0,170,-24.1767629571638,-27.6249084496437
1.57542,0,180,-27.86829510527,-34.1134504697061
