"Freq [GHz]","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []","dB(S(2,3)) []","dB(S(2,4)) []","dB(S(3,4)) []"
1,-82.2550769551797,-80.0065750519183,-82.2669859925574,-82.2604516846033,-79.9832021321503,-82.231259832978
1.00033333333333,-82.2482927113797,-79.9961376463095,-82.2601248372903,-82.2534461944989,-79.9727568290544,-82.2245484265574
1.00066666666667,-82.241498209248,-79.9856932243557,-82.2532532998512,-82.2464302772127,-79.9623045000952,-82.2178268243702
1.001,-82.2346934275046,-79.9752417791102,-82.2463713592421,-82.2394039123193,-79.9518451382687,-82.2110950052928
1.00133333333333,-82.2278783448426,-79.9647833036202,-82.2394789944407,-82.2323670793706,-79.9413787365646,-82.2043529481743
1.00166666666667,-82.2210529399288,-79.9543177909267,-82.2325761844004,-82.2253197578964,-79.9309052879666,-82.1976006318362
1.002,-82.2142171914037,-79.9438452340648,-82.22566290805,-82.2182619274041,-79.9204247854519,-82.1908380350724
1.00233333333333,-82.2073710778813,-79.9333656260632,-82.2187391442945,-82.2111935673789,-79.9099372219917,-82.1840651366499
1.00266666666667,-82.2005145779497,-79.9228789599445,-82.2118048720147,-82.2041146572837,-79.8994425905505,-82.1772819153081
1.003,-82.1936476701707,-79.9123852287252,-82.2048600700672,-82.1970251765596,-79.8889408840868,-82.1704883497593
1.00333333333333,-82.1867703330801,-79.9018844254155,-82.1979047172849,-82.1899251046258,-79.8784320955526,-82.1636844186888
1.00366666666667,-82.1798825451878,-79.8913765430192,-82.190938792477,-82.1828144208795,-79.8679162178934,-82.1568701007549
1.004,-82.172984284978,-79.8808615745342,-82.1839622744288,-82.1756931046961,-79.8573932440486,-82.1500453745889
1.00433333333333,-82.1660755309091,-79.8703395129518,-82.176975141902,-82.1685611354298,-79.8468631669508,-82.1432102187954
1.00466666666667,-82.1591562614138,-79.8598103512571,-82.1699773736351,-82.1614184924127,-79.8363259795264,-82.1363646119524
1.005,-82.1522264548992,-79.849274082429,-82.1629689483427,-82.1542651549557,-79.8257816746953,-82.1295085326109
1.00533333333333,-82.1452860897474,-79.8387306994398,-82.1559498447166,-82.1471011023485,-79.8152302453709,-82.1226419592957
1.00566666666667,-82.1383351443146,-79.8281801952556,-82.1489200414251,-82.1399263138594,-79.8046716844601,-82.1157648705051
1.006,-82.131373596932,-79.8176225628361,-82.1418795171134,-82.1327407687354,-79.7941059848631,-82.1088772447108
1.00633333333333,-82.1244014259058,-79.8070577951345,-82.134828250404,-82.1255444462027,-79.7835331394739,-82.1019790603584
1.00666666666667,-82.1174186095169,-79.7964858850977,-82.1277662198962,-82.1183373254664,-79.7729531411795,-82.0950702958675
1.007,-82.1104251260215,-79.7859068256659,-82.1206934041666,-82.1111193857109,-79.7623659828605,-82.0881509296313
1.00733333333333,-82.1034209536507,-79.7753206097731,-82.1136097817693,-82.1038906060995,-79.7517716573911,-82.0812209400172
1.00766666666667,-82.0964060706111,-79.7647272303466,-82.1065153312355,-82.0966509657754,-79.7411701576384,-82.0742803053666
1.008,-82.0893804550845,-79.7541266803072,-82.0994100310743,-82.0894004438608,-79.7305614764631,-82.0673290039953
1.00833333333333,-82.0823440852282,-79.7435189525692,-82.092293859772,-82.0821390194576,-79.7199456067192,-82.0603670141932
1.00866666666667,-82.0752969391751,-79.7329040400405,-82.0851667957931,-82.0748666716475,-79.709322541254,-82.0533943142247
1.009,-82.0682389950338,-79.7222819356219,-82.0780288175798,-82.0675833794917,-79.6986922729079,-82.0464108823288
1.00933333333333,-82.0611702308886,-79.7116526322082,-82.0708799035521,-82.0602891220315,-79.6880547945147,-82.0394166967187
1.00966666666667,-82.0540906247999,-79.701016122687,-82.0637200321082,-82.0529838782882,-79.6774100989014,-82.0324117355829
1.01,-82.0470001548037,-79.6903723999396,-82.0565491816245,-82.0456676272629,-79.6667581788881,-82.0253959770841
1.01033333333333,-82.0398987989125,-79.6797214568406,-82.0493673304558,-82.0383403479372,-79.6560990272882,-82.0183693993604
1.01066666666667,-82.0327865351147,-79.6690632862576,-82.0421744569351,-82.0310020192729,-79.645432636908,-82.0113319805246
1.011,-82.0256633413752,-79.6583978810517,-82.0349705393741,-82.0236526202122,-79.6347590005473,-82.0042836986647
1.01133333333333,-82.0185291956354,-79.6477252340773,-82.0277555560629,-82.0162921296778,-79.6240781109986,-81.9972245318439
1.01166666666667,-82.0113840758129,-79.6370453381819,-82.0205294852707,-82.0089205265731,-79.6133899610478,-81.9901544581006
1.012,-82.0042279598024,-79.6263581862061,-82.0132923052452,-82.0015377897821,-79.6026945434737,-81.9830734554489
1.01233333333333,-81.9970608254751,-79.6156637709839,-82.0060439942134,-81.9941438981698,-79.591991851048,-81.9759815018781
1.01266666666667,-81.989882650679,-79.6049620853423,-81.9987845303812,-81.9867388305821,-79.5812818765358,-81.9688785753534
1.013,-81.9826934132394,-79.5942531221014,-81.9915138919337,-81.979322565846,-79.5705646126947,-81.9617646538157
1.01333333333333,-81.9754930909583,-79.5835368740745,-81.9842320570355,-81.9718950827697,-79.5598400522756,-81.9546397151814
1.01366666666667,-81.9682816616152,-79.572813334068,-81.9769390038304,-81.9644563601427,-79.5491081880222,-81.9475037373434
1.014,-81.9610591029669,-79.5620824948811,-81.969634710442,-81.9570063767358,-79.5383690126711,-81.9403566981702
1.01433333333333,-81.9538253927476,-79.5513443493064,-81.9623191549735,-81.9495451113015,-79.5276225189518,-81.9331985755068
