"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-34.3866466043544
1.57542,0,-170,-34.0380594873932
1.57542,0,-160,-28.5762035532259
1.57542,0,-150,-25.2201733816046
1.57542,0,-140,-24.0488533680257
1.57542,0,-130,-23.1978037159661
1.57542,0,-120,-21.8809633576973
1.57542,0,-110,-20.3647227128134
1.57542,0,-100,-18.8243095153034
1.57542,0,-90,-17.2249051939993
1.57542,0,-80,-15.442746506963
1.57542,0,-70,-13.2476561128689
1.57542,0,-60,-10.3995992039958
1.57542,0,-50,-6.99731149907167
1.57542,0,-40,-3.5361751539713
1.57542,0,-30,-0.512879021359402
1.57542,0,-20,1.78131644859575
1.57542,0,-10,3.21038796403463
1.57542,0,0,3.71457926934979
1.57542,0,10,3.27512097312689
1.57542,0,20,1.90765966809211
1.57542,0,30,-0.33052112189598
1.57542,0,40,-3.30422610748183
1.57542,0,50,-6.72140879452456
1.57542,0,60,-10.0841871078963
1.57542,0,70,-12.8925899159763
1.57542,0,80,-15.0360435329921
1.57542,0,90,-16.7471823331961
1.57542,0,100,-18.2638861021577
1.57542,0,110,-19.7286221722536
1.57542,0,120,-21.2081581358452
1.57542,0,130,-22.6135143642936
1.57542,0,140,-23.754132518887
1.57542,0,150,-25.2263064197403
1.57542,0,160,-28.7276545936246
1.57542,0,170,-34.0963665497622
1.57542,0,180,-34.3866466043544
