"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,7.42072021728025
1.57542,0,-170,7.32012879879945
1.57542,0,-160,3.18194241475213
1.57542,0,-150,6.7264834196243
1.57542,0,-140,7.21464264422161
1.57542,0,-130,7.74940879356213
1.57542,0,-120,9.01283603881388
1.57542,0,-110,10.2074239193944
1.57542,0,-100,10.5843277441457
1.57542,0,-90,9.99678657844923
1.57542,0,-80,8.68166987079829
1.57542,0,-70,7.03812725271512
1.57542,0,-60,5.40111332657899
1.57542,0,-50,3.91078047075894
1.57542,0,-40,2.52492155184865
1.57542,0,-30,1.14147952622286
1.57542,0,-20,0.293032465088959
1.57542,0,-10,1.17922000961408
1.57542,0,0,1.09466841501413
1.57542,0,10,1.69402079587512
1.57542,0,20,2.80704042137124
1.57542,0,30,3.74507981184416
1.57542,0,40,4.81592389164385
1.57542,0,50,6.24275511408184
1.57542,0,60,8.04561155977483
1.57542,0,70,10.1107987761501
1.57542,0,80,12.0795496119854
1.57542,0,90,13.1638406785794
1.57542,0,100,12.6454431733144
1.57542,0,110,10.8984193353706
1.57542,0,120,8.8175743056156
1.57542,0,130,6.787336828162
1.57542,0,140,5.4825762943041
1.57542,0,150,7.81826432886091
1.57542,0,160,16.7187100672617
1.57542,0,170,14.2386395875427
1.57542,0,180,7.42072021728026
