"Freq [GHz]","dB(S(1,1)) []"
1.55,-1.71400350144478
1.550005,-1.71438305352381
1.55001,-1.71476272494425
1.550015,-1.71514251575379
1.55002,-1.71552242600012
1.550025,-1.71590245573098
1.55003,-1.71628260499413
1.550035,-1.71666287383731
1.55004,-1.71704326230837
1.550045,-1.71742377045507
1.55005,-1.7178043983253
1.550055,-1.71818514596693
1.55006,-1.71856601342783
1.550065,-1.71894700075593
1.55007,-1.71932810799918
1.550075,-1.71970933520551
1.55008,-1.72009068242296
1.550085,-1.72047214969949
1.55009,-1.72085373708317
1.550095,-1.72123544462205
1.5501,-1.7216172723642
1.550105,-1.72199922035776
1.55011,-1.72238128865084
1.550115,-1.72276347729158
1.55012,-1.72314578632819
1.550125,-1.72352821580885
1.55013,-1.7239107657818
1.550135,-1.72429343629529
1.55014,-1.72467622739758
1.550145,-1.725059139137
1.55015,-1.72544217156184
1.550155,-1.72582532472046
1.55016,-1.72620859866124
1.550165,-1.72659199343256
1.55017,-1.72697550908285
1.550175,-1.72735914566054
1.55018,-1.72774290321411
1.550185,-1.72812678179206
1.55019,-1.72851078144287
1.550195,-1.72889490221511
1.5502,-1.72927914415735
1.550205,-1.72966350731815
1.55021,-1.73004799174615
1.550215,-1.73043259748995
1.55022,-1.73081732459824
1.550225,-1.73120217311971
1.55023,-1.73158714310305
1.550235,-1.73197223459701
1.55024,-1.73235744765032
1.550245,-1.73274278231178
1.55025,-1.73312823863022
1.550255,-1.73351381665442
1.55026,-1.73389951643327
1.550265,-1.73428533801565
1.55027,-1.73467128145044
1.550275,-1.73505734678659
1.55028,-1.73544353407304
1.550285,-1.73582984335877
1.55029,-1.7362162746928
1.550295,-1.73660282812411
1.5503,-1.73698950370181
1.550305,-1.73737630147492
1.55031,-1.73776322149257
1.550315,-1.73815026380387
1.55032,-1.73853742845798
1.550325,-1.73892471550406
1.55033,-1.73931212499133
1.550335,-1.73969965696897
1.55034,-1.74008731148628
1.550345,-1.74047508859249
1.55035,-1.74086298833691
1.550355,-1.74125101076887
1.55036,-1.74163915593769
1.550365,-1.74202742389277
1.55037,-1.74241581468348
1.550375,-1.74280432835924
1.55038,-1.74319296496952
1.550385,-1.74358172456375
1.55039,-1.74397060719145
1.550395,-1.74435961290215
1.5504,-1.74474874174536
1.550405,-1.74513799377067
1.55041,-1.74552736902765
1.550415,-1.74591686756594
1.55042,-1.74630648943518
1.550425,-1.74669623468502
1.55043,-1.74708610336518
1.550435,-1.74747609552535
1.55044,-1.74786621121528
1.550445,-1.74825645048475
1.55045,-1.74864681338352
1.550455,-1.74903729996144
1.55046,-1.74942791026835
1.550465,-1.74981864435408
1.55047,-1.75020950226857
1.550475,-1.7506004840617
1.55048,-1.75099158978342
1.550485,-1.75138281948372
1.55049,-1.75177417321257
1.550495,-1.75216565101998
1.5505,-1.75255725295601
1.550505,-1.75294897907071
1.55051,-1.75334082941419
1.550515,-1.75373280403655
1.55052,-1.75412490298795
1.550525,-1.75451712631855
1.55053,-1.75490947407853
1.550535,-1.75530194631815
1.55054,-1.7556945430876
1.550545,-1.75608726443717
1.55055,-1.75648011041717
1.550555,-1.7568730810779
1.55056,-1.75726617646972
1.550565,-1.75765939664298
1.55057,-1.75805274164809
1.550575,-1.75844621153547
1.55058,-1.75883980635555
1.550585,-1.75923352615881
1.55059,-1.75962737099577
1.550595,-1.76002134091693
1.5506,-1.76041543597284
1.550605,-1.76080965621406
1.55061,-1.76120400169121
1.550615,-1.76159847245492
1.55062,-1.7619930685558
1.550625,-1.76238779004458
1.55063,-1.7627826369719
1.550635,-1.76317760938854
1.55064,-1.76357270734522
1.550645,-1.76396793089272
1.55065,-1.76436328008186
1.550655,-1.76475875496346
1.55066,-1.76515435558836
1.550665,-1.76555008200747
1.55067,-1.76594593427166
1.550675,-1.76634191243189
1.55068,-1.7667380165391
1.550685,-1.76713424664427
1.55069,-1.76753060279843
1.550695,-1.7679270850526
1.5507,-1.76832369345783
1.550705,-1.76872042806524
1.55071,-1.76911728892589
1.550715,-1.76951427609095
1.55072,-1.7699113896116
1.550725,-1.77030862953898
1.55073,-1.77070599592435
1.550735,-1.77110348881893
1.55074,-1.77150110827397
1.550745,-1.77189885434081
1.55075,-1.77229672707073
1.550755,-1.77269472651507
1.55076,-1.77309285272524
1.550765,-1.7734911057526
1.55077,-1.77388948564859
1.550775,-1.77428799246465
1.55078,-1.77468662625225
1.550785,-1.77508538706291
1.55079,-1.77548427494814
1.550795,-1.77588328995951
1.5508,-1.77628243214857
1.550805,-1.77668170156694
1.55081,-1.77708109826627
1.550815,-1.77748062229818
1.55082,-1.77788027371439
1.550825,-1.77828005256659
1.55083,-1.77867995890651
1.550835,-1.77907999278594
1.55084,-1.77948015425664
1.550845,-1.77988044337043
1.55085,-1.78028086017916
1.550855,-1.7806814047347
1.55086,-1.78108207708893
1.550865,-1.78148287729378
1.55087,-1.78188380540118
1.550875,-1.78228486146314
1.55088,-1.78268604553161
1.550885,-1.78308735765865
1.55089,-1.78348879789631
1.550895,-1.78389036629665
1.5509,-1.78429206291179
1.550905,-1.78469388779386
1.55091,-1.78509584099501
1.550915,-1.78549792256743
1.55092,-1.78590013256332
1.550925,-1.78630247103494
1.55093,-1.78670493803454
1.550935,-1.7871075336144
1.55094,-1.78751025782686
1.550945,-1.78791311072424
1.55095,-1.78831609235893
1.550955,-1.78871920278333
1.55096,-1.78912244204983
1.550965,-1.78952581021093
1.55097,-1.78992930731906
1.550975,-1.79033293342674
1.55098,-1.79073668858653
1.550985,-1.79114057285094
1.55099,-1.7915445862726
1.550995,-1.79194872890408
1.551,-1.79235300079802
1.551005,-1.79275740200713
1.55101,-1.79316193258405
1.551015,-1.79356659258152
1.55102,-1.7939713820523
1.551025,-1.79437630104913
1.55103,-1.79478134962484
1.551035,-1.79518652783223
1.55104,-1.79559183572416
1.551045,-1.79599727335352
1.55105,-1.79640284077321
1.551055,-1.79680853803617
1.55106,-1.79721436519534
1.551065,-1.79762032230373
1.55107,-1.79802640941436
1.551075,-1.79843262658024
1.55108,-1.79883897385446
1.551085,-1.79924545129013
1.55109,-1.79965205894035
1.551095,-1.80005879685828
1.5511,-1.8004656650971
1.551105,-1.80087266371
1.55111,-1.80127979275025
1.551115,-1.80168705227105
1.55112,-1.80209444232574
1.551125,-1.8025019629676
1.55113,-1.80290961424999
1.551135,-1.80331739622629
1.55114,-1.80372530894985
1.551145,-1.80413335247413
1.55115,-1.80454152685259
1.551155,-1.80494983213867
1.55116,-1.80535826838591
1.551165,-1.80576683564781
1.55117,-1.80617553397795
1.551175,-1.80658436342993
1.55118,-1.80699332405734
1.551185,-1.80740241591384
1.55119,-1.80781163905308
1.551195,-1.80822099352876
1.5512,-1.80863047939464
1.551205,-1.80904009670443
1.55121,-1.80944984551193
1.551215,-1.80985972587096
1.55122,-1.81026973783532
1.551225,-1.81067988145891
1.55123,-1.81109015679559
1.551235,-1.81150056389928
1.55124,-1.81191110282396
1.551245,-1.81232177362357
1.55125,-1.81273257635214
1.551255,-1.81314351106366
1.55126,-1.81355457781221
1.551265,-1.81396577665189
1.55127,-1.81437710763677
1.551275,-1.81478857082103
1.55128,-1.81520016625883
1.551285,-1.81561189400434
1.55129,-1.81602375411183
1.551295,-1.8164357466355
1.5513,-1.81684787162966
1.551305,-1.81726012914862
1.55131,-1.8176725192467
1.551315,-1.81808504197828
1.55132,-1.81849769739773
1.551325,-1.81891048555948
1.55133,-1.81932340651799
1.551335,-1.81973646032772
1.55134,-1.82014964704318
1.551345,-1.8205629667189
1.55135,-1.82097641940943
1.551355,-1.82139000516938
1.55136,-1.82180372405334
1.551365,-1.82221757611597
1.55137,-1.82263156141195
1.551375,-1.82304567999595
1.55138,-1.82345993192274
1.551385,-1.82387431724704
1.55139,-1.82428883602365
1.551395,-1.8247034883074
1.5514,-1.8251182741531
1.551405,-1.82553319361563
1.55141,-1.82594824674991
1.551415,-1.82636343361084
1.55142,-1.8267787542534
1.551425,-1.82719420873254
1.55143,-1.82760979710331
1.551435,-1.82802551942072
1.55144,-1.82844137573985
1.551445,-1.82885736611579
1.55145,-1.82927349060369
1.551455,-1.82968974925867
1.55146,-1.83010614213594
1.551465,-1.83052266929069
1.55147,-1.83093933077818
1.551475,-1.83135612665367
1.55148,-1.83177305697245
1.551485,-1.83219012178986
1.55149,-1.83260732116123
1.551495,-1.83302465514196
1.5515,-1.83344212378748
1.551505,-1.83385972715319
1.55151,-1.83427746529457
1.551515,-1.83469533826715
1.55152,-1.83511334612641
1.551525,-1.83553148892796
1.55153,-1.83594976672732
1.551535,-1.83636817958014
1.55154,-1.83678672754207
1.551545,-1.83720541066875
1.55155,-1.83762422901592
1.551555,-1.83804318263926
1.55156,-1.83846227159455
1.551565,-1.8388814959376
1.55157,-1.83930085572418
1.551575,-1.83972035101016
1.55158,-1.84013998185142
1.551585,-1.84055974830384
1.55159,-1.84097965042337
1.551595,-1.84139968826595
1.5516,-1.84181986188759
1.551605,-1.84224017134431
1.55161,-1.84266061669212
1.551615,-1.84308119798715
1.55162,-1.84350191528546
1.551625,-1.8439227686432
1.55163,-1.84434375811655
1.551635,-1.84476488376168
1.55164,-1.84518614563482
1.551645,-1.84560754379223
1.55165,-1.84602907829019
1.551655,-1.846450749185
1.55166,-1.84687255653299
1.551665,-1.84729450039056
1.55167,-1.84771658081409
1.551675,-1.84813879786
1.55168,-1.84856115158477
1.551685,-1.84898364204485
1.55169,-1.84940626929678
1.551695,-1.84982903339712
1.5517,-1.85025193440241
1.551705,-1.85067497236928
1.55171,-1.85109814735435
1.551715,-1.85152145941428
1.55172,-1.85194490860579
1.551725,-1.85236849498557
1.55173,-1.85279221861038
1.551735,-1.85321607953702
1.55174,-1.85364007782228
1.551745,-1.85406421352301
1.55175,-1.85448848669607
1.551755,-1.85491289739836
1.55176,-1.85533744568683
1.551765,-1.85576213161842
1.55177,-1.85618695525012
1.551775,-1.85661191663898
1.55178,-1.857037015842
1.551785,-1.8574622529163
1.55179,-1.85788762791896
1.551795,-1.85831314090712
1.5518,-1.85873879193798
1.551805,-1.8591645810687
1.55181,-1.85959050835653
1.551815,-1.86001657385872
1.55182,-1.86044277763255
1.551825,-1.86086911973536
1.55183,-1.86129560022448
1.551835,-1.86172221915729
1.55184,-1.86214897659121
1.551845,-1.86257587258365
1.55185,-1.86300290719212
1.551855,-1.86343008047408
1.55186,-1.86385739248707
1.551865,-1.86428484328866
1.55187,-1.86471243293643
1.551875,-1.865140161488
1.55188,-1.865568029001
1.551885,-1.86599603553314
1.55189,-1.86642418114212
1.551895,-1.86685246588567
1.5519,-1.86728088982157
1.551905,-1.86770945300761
1.55191,-1.86813815550163
1.551915,-1.86856699736149
1.55192,-1.86899597864508
1.551925,-1.86942509941031
1.55193,-1.86985435971516
1.551935,-1.87028375961758
1.55194,-1.87071329917562
1.551945,-1.87114297844728
1.55195,-1.87157279749066
1.551955,-1.87200275636387
1.55196,-1.87243285512502
1.551965,-1.8728630938323
1.55197,-1.87329347254391
1.551975,-1.87372399131804
1.55198,-1.874154650213
1.551985,-1.87458544928703
1.55199,-1.87501638859847
1.551995,-1.87544746820568
1.552,-1.87587868816702
1.552005,-1.87631004854092
1.55201,-1.87674154938579
1.552015,-1.87717319076013
1.55202,-1.87760497272246
1.552025,-1.87803689533127
1.55203,-1.87846895864513
1.552035,-1.87890116272268
1.55204,-1.87933350762251
1.552045,-1.87976599340329
1.55205,-1.88019862012369
1.552055,-1.88063138784245
1.55206,-1.88106429661832
1.552065,-1.88149734651007
1.55207,-1.88193053757652
1.552075,-1.8823638698765
1.55208,-1.8827973434689
1.552085,-1.88323095841264
1.55209,-1.88366471476662
1.552095,-1.88409861258983
1.5521,-1.88453265194126
1.552105,-1.88496683287995
1.55211,-1.88540115546496
1.552115,-1.88583561975537
1.55212,-1.88627022581031
1.552125,-1.88670497368895
1.55213,-1.88713986345044
1.552135,-1.88757489515405
1.55214,-1.88801006885898
1.552145,-1.88844538462453
1.55215,-1.88888084251003
1.552155,-1.88931644257478
1.55216,-1.88975218487818
1.552165,-1.89018806947966
1.55217,-1.89062409643861
1.552175,-1.89106026581453
1.55218,-1.89149657766689
1.552185,-1.89193303205526
1.55219,-1.89236962903919
1.552195,-1.89280636867825
1.5522,-1.8932432510321
1.552205,-1.89368027616039
1.55221,-1.89411744412279
1.552215,-1.89455475497905
1.55222,-1.8949922087889
1.552225,-1.89542980561212
1.55223,-1.89586754550856
1.552235,-1.89630542853804
1.55224,-1.89674345476045
1.552245,-1.89718162423569
1.55225,-1.89761993702371
1.552255,-1.8980583931845
1.55226,-1.89849699277804
1.552265,-1.89893573586439
1.55227,-1.89937462250362
1.552275,-1.89981365275581
1.55228,-1.90025282668113
1.552285,-1.90069214433972
1.55229,-1.90113160579177
1.552295,-1.90157121109756
1.5523,-1.90201096031729
1.552305,-1.90245085351131
1.55231,-1.9028908907399
1.552315,-1.90333107206345
1.55232,-1.90377139754234
1.552325,-1.90421186723699
1.55233,-1.90465248120786
1.552335,-1.90509323951545
1.55234,-1.90553414222025
1.552345,-1.90597518938285
1.55235,-1.9064163810638
1.552355,-1.90685771732372
1.55236,-1.90729919822329
1.552365,-1.90774082382315
1.55237,-1.90818259418405
1.552375,-1.90862450936669
1.55238,-1.90906656943189
1.552385,-1.90950877444047
1.55239,-1.90995112445323
1.552395,-1.91039361953106
1.5524,-1.91083625973489
1.552405,-1.91127904512563
1.55241,-1.91172197576429
1.552415,-1.91216505171183
1.55242,-1.91260827302932
1.552425,-1.91305163977783
1.55243,-1.91349515201844
1.552435,-1.91393880981232
1.55244,-1.9143826132206
1.552445,-1.9148265623045
1.55245,-1.91527065712528
1.552455,-1.91571489774416
1.55246,-1.91615928422247
1.552465,-1.91660381662154
1.55247,-1.91704849500273
1.552475,-1.91749331942744
1.55248,-1.91793828995708
1.552485,-1.91838340665314
1.55249,-1.91882866957712
1.552495,-1.91927407879054
1.5525,-1.91971963435496
1.552505,-1.92016533633196
1.55251,-1.9206111847832
