"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,13.4230622462578
1.57542,0,-170,13.9575967173945
1.57542,0,-160,13.9016047223445
1.57542,0,-150,1.42596074398674
1.57542,0,-140,3.63120059349128
1.57542,0,-130,5.03210085555172
1.57542,0,-120,6.85859846238584
1.57542,0,-110,8.35081872542148
1.57542,0,-100,8.83346076455556
1.57542,0,-90,8.22052196438852
1.57542,0,-80,6.80593501114098
1.57542,0,-70,5.02682972082856
1.57542,0,-60,3.25483994439822
1.57542,0,-50,1.75318096674571
1.57542,0,-40,1.1568167133766
1.57542,0,-30,2.11547139648373
1.57542,0,-20,3.43624528203713
1.57542,0,-10,4.24562587988884
1.57542,0,0,3.99319176904666
1.57542,0,10,4.37980668083655
1.57542,0,20,5.53593970086146
1.57542,0,30,6.66212060994663
1.57542,0,40,7.92679927520475
1.57542,0,50,9.61114358372529
1.57542,0,60,11.9184267746515
1.57542,0,70,14.9975235262394
1.57542,0,80,18.6833159943528
1.57542,0,90,21.4451381436662
1.57542,0,100,20.5142674595623
1.57542,0,110,16.8446354401602
1.57542,0,120,13.1139369884644
1.57542,0,130,10.0983937629497
1.57542,0,140,8.47874986808999
1.57542,0,150,11.2416593788823
1.57542,0,160,29.7770263964003
1.57542,0,170,8.7016041247524
1.57542,0,180,13.4230622462578
