"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,2.40079163583522
1.57542,0,-170,6.25642451736506
1.57542,0,-160,18.5274355875805
1.57542,0,-150,8.8742738261627
1.57542,0,-140,9.30752274510306
1.57542,0,-130,10.6976144378286
1.57542,0,-120,11.3884593347009
1.57542,0,-110,11.7009854869296
1.57542,0,-100,11.7674716088143
1.57542,0,-90,11.5435969195915
1.57542,0,-80,11.1535534071772
1.57542,0,-70,11.0321386328412
1.57542,0,-60,12.0764502967644
1.57542,0,-50,16.9940017890102
1.57542,0,-40,22.7582971500033
1.57542,0,-30,8.45795014266848
1.57542,0,-20,3.13084984278462
1.57542,0,-10,1.00145347457515
1.57542,0,0,0.978185728042564
1.57542,0,10,1.08126600647488
1.57542,0,20,3.72975307902175
1.57542,0,30,9.79235499776019
1.57542,0,40,29.6554670061275
1.57542,0,50,16.0889405185635
1.57542,0,60,12.3461493685967
1.57542,0,70,11.8133742135381
1.57542,0,80,12.3202441705782
1.57542,0,90,13.012061002405
1.57542,0,100,13.3842717652485
1.57542,0,110,13.2403600136616
1.57542,0,120,12.6054006635242
1.57542,0,130,11.3278560938521
1.57542,0,140,8.92835169963789
1.57542,0,150,5.97588394960223
1.57542,0,160,31.1261926508337
1.57542,0,170,2.99711242933364
1.57542,0,180,2.40079163583522
