"Freq [GHz]","dB(S(1,1)) []"
1.55,-1.84157577880942
1.550005,-1.84200439218231
1.55001,-1.84243314502034
1.550015,-1.84286203737977
1.55002,-1.84329106931681
1.550025,-1.84372024088773
1.55003,-1.84414955214886
1.550035,-1.84457900315646
1.55004,-1.84500859396693
1.550045,-1.84543832463661
1.55005,-1.84586819522192
1.550055,-1.8462982057793
1.55006,-1.84672835636517
1.550065,-1.84715864703603
1.55007,-1.84758907784841
1.550075,-1.8480196488588
1.55008,-1.84845036012381
1.550085,-1.84888121169998
1.55009,-1.84931220364396
1.550095,-1.84974333601241
1.5501,-1.85017460886195
1.550105,-1.85060602224932
1.55011,-1.85103757623123
1.550115,-1.85146927086442
1.55012,-1.85190110620568
1.550125,-1.85233308231182
1.55013,-1.85276519923966
1.550135,-1.85319745704607
1.55014,-1.85362985578793
1.550145,-1.85406239552218
1.55015,-1.85449507630571
1.550155,-1.85492789819552
1.55016,-1.85536086124861
1.550165,-1.85579396552199
1.55017,-1.85622721107272
1.550175,-1.85666059795786
1.55018,-1.85709412623453
1.550185,-1.85752779595988
1.55019,-1.85796160719102
1.550195,-1.85839555998515
1.5502,-1.85882965439952
1.550205,-1.85926389049133
1.55021,-1.85969826831789
1.550215,-1.86013278793643
1.55022,-1.86056744940433
1.550225,-1.86100225277893
1.55023,-1.86143719811758
1.550235,-1.86187228547773
1.55024,-1.86230751491675
1.550245,-1.86274288649215
1.55025,-1.86317840026141
1.550255,-1.86361405628203
1.55026,-1.86404985461156
1.550265,-1.86448579530758
1.55027,-1.86492187842765
1.550275,-1.86535810402944
1.55028,-1.86579447217057
1.550285,-1.86623098290873
1.55029,-1.86666763630165
1.550295,-1.86710443240702
1.5503,-1.86754137128265
1.550305,-1.86797845298628
1.55031,-1.86841567757576
1.550315,-1.86885304510894
1.55032,-1.86929055564367
1.550325,-1.86972820923786
1.55033,-1.87016600594946
1.550335,-1.87060394583639
1.55034,-1.87104202895667
1.550345,-1.87148025536827
1.55035,-1.87191862512926
1.550355,-1.87235713829771
1.55036,-1.87279579493169
1.550365,-1.87323459508935
1.55037,-1.87367353882882
1.550375,-1.87411262620828
1.55038,-1.87455185728595
1.550385,-1.87499123212005
1.55039,-1.87543075076885
1.550395,-1.87587041329065
1.5504,-1.87631021974374
1.550405,-1.8767501701865
1.55041,-1.87719026467727
1.550415,-1.87763050327447
1.55042,-1.87807088603654
