"Freq [GHz]","dB(S(1,1)) []"
1.55,-6.06037314412674
1.550005,-6.06333701147647
1.55001,-6.06630307657119
1.550015,-6.06927134155481
1.55002,-6.07224180857314
1.550025,-6.07521447977517
1.55003,-6.07818935731227
1.550035,-6.08116644333813
1.55004,-6.08414574000958
1.550045,-6.08712724948544
1.55005,-6.09011097392765
1.550055,-6.0930969155006
1.55006,-6.09608507637101
1.550065,-6.09907545870865
1.55007,-6.10206806468576
1.550075,-6.1050628964769
1.55008,-6.10805995625984
1.550085,-6.11105924621433
1.55009,-6.11406076852332
1.550095,-6.11706452537219
1.5501,-6.1200705189487
1.550105,-6.12307875144382
1.55011,-6.12608922505056
1.550115,-6.129101941965
1.55012,-6.13211690438581
1.550125,-6.13513411451416
1.55013,-6.13815357455407
1.550135,-6.14117528671219
1.55014,-6.14419925319774
1.550145,-6.14722547622283
1.55015,-6.15025395800193
1.550155,-6.15328470075243
1.55016,-6.1563177066946
1.550165,-6.15935297805091
1.55017,-6.16239051704694
1.550175,-6.16543032591076
1.55018,-6.16847240687325
1.550185,-6.1715167621681
1.55019,-6.17456339403137
1.550195,-6.17761230470213
1.5502,-6.18066349642229
1.550205,-6.18371697143608
1.55021,-6.18677273199089
1.550215,-6.18983078033636
1.55022,-6.1928911187254
1.550225,-6.19595374941347
1.55023,-6.19901867465852
1.550235,-6.20208589672169
1.55024,-6.20515541786637
1.550245,-6.20822724035923
1.55025,-6.21130136646953
1.550255,-6.21437779846903
1.55026,-6.21745653863259
1.550265,-6.22053758923785
1.55027,-6.2236209525649
1.550275,-6.22670663089701
1.55028,-6.22979462651996
1.550285,-6.2328849417225
1.55029,-6.23597757879623
1.550295,-6.23907254003521
1.5503,-6.2421698277368
1.550305,-6.24526944420066
1.55031,-6.24837139172965
1.550315,-6.25147567262938
1.55032,-6.25458228920812
1.550325,-6.25769124377713
1.55033,-6.26080253865058
1.550335,-6.26391617614513
1.55034,-6.26703215858074
1.550345,-6.27015048827975
1.55035,-6.2732711675677
1.550355,-6.276394198773
1.55036,-6.27951958422657
1.550365,-6.28264732626264
1.55037,-6.28577742721787
1.550375,-6.28890988943214
1.55038,-6.29204471524817
1.550385,-6.29518190701127
1.55039,-6.29832146706995
1.550395,-6.30146339777561
1.5504,-6.30460770148224
1.550405,-6.30775438054714
1.55041,-6.31090343733008
1.550415,-6.3140548741941
1.55042,-6.31720869350511
1.550425,-6.32036489763163
1.55043,-6.32352348894555
1.550435,-6.32668446982124
1.55044,-6.32984784263633
1.550445,-6.33301360977139
1.55045,-6.3361817736096
1.550455,-6.3393523365374
1.55046,-6.34252530094421
1.550465,-6.34570066922207
1.55047,-6.3488784437664
1.550475,-6.35205862697513
1.55048,-6.35524122124954
1.550485,-6.35842622899385
1.55049,-6.36161365261499
1.550495,-6.36480349452313
1.5505,-6.36799575713118
1.550505,-6.37119044285529
1.55051,-6.37438755411464
1.550515,-6.37758709333104
1.55052,-6.38078906292966
1.550525,-6.38399346533869
1.55053,-6.38720030298898
1.550535,-6.3904095783149
1.55054,-6.39362129375325
1.550545,-6.39683545174435
1.55055,-6.4000520547315
1.550555,-6.4032711051607
1.55056,-6.40649260548144
1.550565,-6.40971655814587
1.55057,-6.41294296560937
1.550575,-6.41617183033051
1.55058,-6.41940315477058
1.550585,-6.42263694139424
1.55059,-6.42587319266923
1.550595,-6.42911191106608
1.5506,-6.4323530990587
