"Freq [GHz]","dB(S(1,1)) []"
1.55,-0.945171118952986
1.550005,-0.945321281990681
1.55001,-0.945471478428466
1.550015,-0.945621708275146
1.55002,-0.945771971539511
1.550025,-0.945922268230371
1.55003,-0.946072598356532
1.550035,-0.946222961926791
1.55004,-0.94637335894997
1.550045,-0.946523789434869
1.55005,-0.94667425339031
1.550055,-0.946824750825112
1.55006,-0.946975281748087
1.550065,-0.947125846168065
1.55007,-0.947276444093874
1.550075,-0.947427075534329
1.55008,-0.947577740498274
1.550085,-0.947728438994533
1.55009,-0.94787917103194
1.550095,-0.948029936619346
1.5501,-0.948180735765573
1.550105,-0.948331568479485
1.55011,-0.948482434769909
1.550115,-0.9486333346457
1.55012,-0.948784268115714
1.550125,-0.948935235188799
1.55013,-0.949086235873812
1.550135,-0.949237270179615
1.55014,-0.949388338115061
1.550145,-0.949539439689026
1.55015,-0.949690574910366
1.550155,-0.949841743787951
1.55016,-0.949992946330665
1.550165,-0.950144182547365
1.55017,-0.95029545244694
1.550175,-0.950446756038262
1.55018,-0.950598093330215
1.550185,-0.950749464331692
1.55019,-0.950900869051565
1.550195,-0.951052307498733
1.5502,-0.951203779682093
1.550205,-0.95135528561053
1.55021,-0.951506825292947
1.550215,-0.951658398738241
1.55022,-0.951810005955316
1.550225,-0.951961646953084
1.55023,-0.952113321740444
1.550235,-0.952265030326311
1.55024,-0.952416772719593
1.550245,-0.952568548929211
1.55025,-0.952720358964087
1.550255,-0.952872202833133
1.55026,-0.953024080545279
1.550265,-0.953175992109451
1.55027,-0.953327937534572
1.550275,-0.953479916829581
1.55028,-0.953631930003404
1.550285,-0.953783977064985
1.55029,-0.953936058023263
1.550295,-0.954088172887174
1.5503,-0.95424032166567
1.550305,-0.954392504367691
1.55031,-0.954544721002189
1.550315,-0.954696971578119
1.55032,-0.954849256104431
1.550325,-0.955001574590088
1.55033,-0.955153927044051
1.550335,-0.955306313475277
1.55034,-0.955458733892739
1.550345,-0.955611188305393
1.55035,-0.95576367672222
1.550355,-0.955916199152193
1.55036,-0.95606875560428
1.550365,-0.956221346087471
1.55037,-0.956373970610734
1.550375,-0.956526629183063
1.55038,-0.956679321813445
1.550385,-0.956832048510858
1.55039,-0.956984809284305
1.550395,-0.957137604142778
1.5504,-0.957290433095268
1.550405,-0.957443296150783
1.55041,-0.957596193318316
1.550415,-0.957749124606878
1.55042,-0.957902090025478
1.550425,-0.958055089583121
1.55043,-0.958208123288827
1.550435,-0.958361191151599
1.55044,-0.958514293180462
1.550445,-0.958667429384444
1.55045,-0.958820599772554
1.550455,-0.958973804353827
1.55046,-0.959127043137292
1.550465,-0.959280316131974
1.55047,-0.959433623346917
1.550475,-0.959586964791144
1.55048,-0.959740340473701
1.550485,-0.959893750403635
1.55049,-0.96004719458998
1.550495,-0.960200673041796
1.5505,-0.960354185768116
1.550505,-0.960507732778
1.55051,-0.960661314080511
1.550515,-0.960814929684695
1.55052,-0.960968579599615
1.550525,-0.961122263834341
1.55053,-0.961275982397928
1.550535,-0.961429735299455
1.55054,-0.961583522547985
1.550545,-0.961737344152589
1.55055,-0.961891200122353
1.550555,-0.962045090466346
1.55056,-0.962199015193658
1.550565,-0.962352974313366
1.55057,-0.962506967834559
1.550575,-0.962660995766331
1.55058,-0.962815058117765
1.550585,-0.962969154897962
1.55059,-0.963123286116022
1.550595,-0.96327745178104
1.5506,-0.963431651902121
1.550605,-0.963585886488363
1.55061,-0.963740155548881
1.550615,-0.963894459092792
1.55062,-0.964048797129195
1.550625,-0.964203169667218
1.55063,-0.964357576715969
1.550635,-0.964512018284577
1.55064,-0.964666494382168
1.550645,-0.964821005017858
1.55065,-0.964975550200782
1.550655,-0.965130129940083
1.55066,-0.965284744244876
1.550665,-0.965439393124311
1.55067,-0.965594076587525
1.550675,-0.965748794643658
1.55068,-0.965903547301862
1.550685,-0.966058334571275
1.55069,-0.966213156461057
1.550695,-0.966368012980359
1.5507,-0.966522904138328
1.550705,-0.96667782994414
1.55071,-0.966832790406938
1.550715,-0.966987785535898
1.55072,-0.967142815340186
1.550725,-0.967297879828964
1.55073,-0.967452979011413
1.550735,-0.967608112896701
1.55074,-0.967763281494005
1.550745,-0.967918484812514
1.55075,-0.9680737228614
1.550755,-0.968228995649853
1.55076,-0.968384303187065
1.550765,-0.968539645482219
1.55077,-0.968695022544517
1.550775,-0.968850434383149
1.55078,-0.969005881007311
1.550785,-0.969161362426216
1.55079,-0.969316878649058
1.550795,-0.969472429685051
1.5508,-0.969628015543399
1.550805,-0.969783636233311
1.55081,-0.969939291764017
1.550815,-0.970094982144718
1.55082,-0.970250707384643
1.550825,-0.970406467493017
1.55083,-0.97056226247906
1.550835,-0.970718092352005
1.55084,-0.970873957121077
1.550845,-0.971029856795515
1.55085,-0.971185791384558
1.550855,-0.971341760897438
1.55086,-0.971497765343402
1.550865,-0.971653804731694
1.55087,-0.971809879071558
1.550875,-0.971965988372253
1.55088,-0.972122132643016
1.550885,-0.972278311893119
1.55089,-0.972434526131813
1.550895,-0.972590775368357
1.5509,-0.97274705961202
1.550905,-0.972903378872063
1.55091,-0.973059733157755
1.550915,-0.973216122478373
1.55092,-0.973372546843185
1.550925,-0.973529006261475
1.55093,-0.973685500742518
1.550935,-0.973842030295593
1.55094,-0.973998594929994
1.550945,-0.974155194655004
1.55095,-0.974311829479912
1.550955,-0.974468499414019
1.55096,-0.974625204466612
1.550965,-0.974781944646998
1.55097,-0.974938719964469
1.550975,-0.975095530428334
1.55098,-0.975252376047908
1.550985,-0.975409256832485
1.55099,-0.975566172791392
1.550995,-0.975723123933934
1.551,-0.97588011026943
1.551005,-0.976037131807211
1.55101,-0.976194188556584
1.551015,-0.976351280526887
1.55102,-0.97650840772745
1.551025,-0.976665570167593
1.55103,-0.97682276785666
1.551035,-0.976980000803982
1.55104,-0.977137269018902
1.551045,-0.977294572510764
1.55105,-0.977451911288907
1.551055,-0.977609285362688
1.55106,-0.977766694741445
1.551065,-0.977924139434541
1.55107,-0.978081619451335
1.551075,-0.978239134801174
1.55108,-0.978396685493425
1.551085,-0.978554271537457
1.55109,-0.978711892942629
1.551095,-0.978869549718319
1.5511,-0.979027241873891
1.551105,-0.979184969418723
1.55111,-0.979342732362201
1.551115,-0.979500530713688
1.55112,-0.979658364482588
1.551125,-0.979816233678272
1.55113,-0.979974138310134
1.551135,-0.980132078387569
1.55114,-0.980290053919958
1.551145,-0.980448064916713
1.55115,-0.980606111387233
1.551155,-0.980764193340913
1.55116,-0.980922310787165
1.551165,-0.981080463735386
1.55117,-0.981238652194996
1.551175,-0.981396876175415
1.55118,-0.981555135686043
1.551185,-0.981713430736313
1.55119,-0.981871761335638
1.551195,-0.98203012749344
1.5512,-0.982188529219163
1.551205,-0.982346966522217
1.55121,-0.982505439412043
1.551215,-0.982663947898087
1.55122,-0.982822491989768
1.551225,-0.982981071696543
1.55123,-0.983139687027849
1.551235,-0.983298337993126
1.55124,-0.983457024601839
1.551245,-0.983615746863426
1.55125,-0.983774504787354
1.551255,-0.983933298383068
1.55126,-0.984092127660031
1.551265,-0.984250992627721
1.55127,-0.984409893295582
1.551275,-0.984568829673097
1.55128,-0.984727801769735
1.551285,-0.984886809594966
1.55129,-0.985045853158273
1.551295,-0.98520493246913
1.5513,-0.985364047537019
1.551305,-0.985523198371435
1.55131,-0.985682384981854
1.551315,-0.985841607377777
1.55132,-0.986000865568686
1.551325,-0.986160159564087
1.55133,-0.986319489373476
1.551335,-0.986478855006355
1.55134,-0.986638256472227
1.551345,-0.986797693780605
1.55135,-0.986957166940993
1.551355,-0.98711667596291
1.55136,-0.987276220855862
1.551365,-0.987435801629374
1.55137,-0.987595418292971
1.551375,-0.98775507085617
1.55138,-0.987914759328506
1.551385,-0.988074483719495
1.55139,-0.988234244038682
1.551395,-0.988394040295601
1.5514,-0.988553872499782
1.551405,-0.988713740660772
1.55141,-0.98887364478812
1.551415,-0.989033584891358
1.55142,-0.989193560980053
1.551425,-0.989353573063738
1.55143,-0.989513621151981
1.551435,-0.989673705254335
1.55144,-0.989833825380355
1.551445,-0.989993981539614
1.55145,-0.990154173741678
1.551455,-0.990314401996105
1.55146,-0.990474666312478
1.551465,-0.990634966700361
1.55147,-0.99079530316934
1.551475,-0.990955675728993
1.55148,-0.991116084388896
1.551485,-0.991276529158643
1.55149,-0.991437010047811
1.551495,-0.991597527066003
1.5515,-0.991758080222813
1.551505,-0.991918669527824
1.55151,-0.992079294990648
1.551515,-0.992239956620886
1.55152,-0.992400654428136
1.551525,-0.992561388422021
1.55153,-0.99272215861213
1.551535,-0.992882965008088
1.55154,-0.99304380761952
1.551545,-0.993204686456026
1.55155,-0.993365601527246
1.551555,-0.993526552842789
1.55156,-0.993687540412293
1.551565,-0.993848564245387
1.55157,-0.994009624351702
1.551575,-0.99417072074087
1.55158,-0.994331853422543
1.551585,-0.994493022406346
1.55159,-0.994654227701937
1.551595,-0.99481546931895
1.5516,-0.994976747267043
1.551605,-0.995138061555877
1.55161,-0.995299412195091
1.551615,-0.995460799194353
1.55162,-0.995622222563324
1.551625,-0.995783682311662
1.55163,-0.995945178449043
1.551635,-0.996106710985131
1.55164,-0.996268279929594
1.551645,-0.996429885292119
1.55165,-0.996591527082378
1.551655,-0.996753205310053
1.55166,-0.996914919984824
1.551665,-0.99707667111638
1.55167,-0.997238458714416
1.551675,-0.997400282788614
1.55168,-0.997562143348683
1.551685,-0.997724040404303
1.55169,-0.997885973965187
1.551695,-0.998047944041041
1.5517,-0.998209950641561
1.551705,-0.998371993776463
1.55171,-0.998534073455462
1.551715,-0.998696189688263
1.55172,-0.998858342484597
1.551725,-0.999020531854171
1.55173,-0.999182757806718
1.551735,-0.99934502035196
1.55174,-0.999507319499627
1.551745,-0.999669655259456
1.55175,-0.999832027641173
1.551755,-0.999994436654517
1.55176,-1.00015688230923
1.551765,-1.00031936461507
1.55177,-1.00048188358175
1.551775,-1.00064443921906
1.55178,-1.00080703153671
1.551785,-1.0009696605445
1.55179,-1.00113232625214
1.551795,-1.00129502866942
1.5518,-1.0014577678061
1.551805,-1.00162054367194
1.55181,-1.00178335627672
1.551815,-1.00194620563019
1.55182,-1.00210909174214
1.551825,-1.00227201462236
1.55183,-1.0024349742806
1.551835,-1.00259797072667
1.55184,-1.00276100397034
1.551845,-1.00292407402141
1.55185,-1.00308718088966
1.551855,-1.00325032458489
1.55186,-1.0034135051169
1.551865,-1.00357672249549
1.55187,-1.00373997673046
1.551875,-1.00390326783162
1.55188,-1.00406659580878
1.551885,-1.00422996067174
1.55189,-1.00439336243033
1.551895,-1.00455680109435
1.5519,-1.00472027667364
1.551905,-1.00488378917801
1.55191,-1.00504733861729
1.551915,-1.00521092500132
1.55192,-1.00537454833991
1.551925,-1.00553820864291
1.55193,-1.00570190592015
1.551935,-1.00586564018147
1.55194,-1.00602941143673
1.551945,-1.00619321969575
1.55195,-1.0063570649684
1.551955,-1.00652094726453
1.55196,-1.00668486659397
1.551965,-1.00684882296661
1.55197,-1.0070128163923
1.551975,-1.0071768468809
1.55198,-1.00734091444227
1.551985,-1.00750501908629
1.55199,-1.00766916082283
1.551995,-1.00783333966176
1.552,-1.00799755561296
1.552005,-1.00816180868631
1.55201,-1.0083260988917
1.552015,-1.00849042623901
1.55202,-1.00865479073813
1.552025,-1.00881919239895
1.55203,-1.00898363123137
1.552035,-1.00914810724529
1.55204,-1.00931262045061
1.552045,-1.00947717085723
1.55205,-1.00964175847505
1.552055,-1.00980638331398
1.55206,-1.00997104538396
1.552065,-1.01013574469487
1.55207,-1.01030048125665
1.552075,-1.01046525507921
1.55208,-1.01063006617248
1.552085,-1.01079491454638
1.55209,-1.01095980021085
1.552095,-1.01112472317581
1.5521,-1.01128968345121
1.552105,-1.01145468104698
1.55211,-1.01161971597307
1.552115,-1.01178478823941
1.55212,-1.01194989785595
1.552125,-1.01211504483265
1.55213,-1.01228022917945
1.552135,-1.01244545090632
1.55214,-1.01261071002321
1.552145,-1.01277600654008
1.55215,-1.01294134046691
1.552155,-1.01310671181364
1.55216,-1.01327212059026
1.552165,-1.01343756680675
1.55217,-1.01360305047306
1.552175,-1.01376857159919
1.55218,-1.01393413019512
1.552185,-1.01409972627082
1.55219,-1.0142653598363
1.552195,-1.01443103090154
1.5522,-1.01459673947653
1.552205,-1.01476248557127
1.55221,-1.01492826919576
1.552215,-1.01509409036
1.55222,-1.015259949074
1.552225,-1.01542584534776
1.55223,-1.0155917791913
1.552235,-1.01575775061463
1.55224,-1.01592375962777
1.552245,-1.01608980624074
1.55225,-1.01625589046355
1.552255,-1.01642201230625
1.55226,-1.01658817177884
1.552265,-1.01675436889137
1.55227,-1.01692060365388
1.552275,-1.01708687607639
1.55228,-1.01725318616895
1.552285,-1.0174195339416
1.55229,-1.01758591940439
1.552295,-1.01775234256737
1.5523,-1.01791880344058
1.552305,-1.01808530203409
1.55231,-1.01825183835795
1.552315,-1.01841841242222
1.55232,-1.01858502423698
1.552325,-1.01875167381227
1.55233,-1.01891836115817
1.552335,-1.01908508628477
1.55234,-1.01925184920212
1.552345,-1.01941864992032
1.55235,-1.01958548844943
1.552355,-1.01975236479955
1.55236,-1.01991927898076
1.552365,-1.02008623100315
1.55237,-1.02025322087682
1.552375,-1.02042024861186
1.55238,-1.02058731421837
1.552385,-1.02075441770646
1.55239,-1.02092155908622
1.552395,-1.02108873836776
1.5524,-1.02125595556121
1.552405,-1.02142321067666
1.55241,-1.02159050372425
1.552415,-1.02175783471407
1.55242,-1.02192520365627
1.552425,-1.02209261056096
1.55243,-1.02226005543827
1.552435,-1.02242753829834
1.55244,-1.0225950591513
1.552445,-1.02276261800728
1.55245,-1.02293021487643
1.552455,-1.02309784976888
1.55246,-1.0232655226948
1.552465,-1.02343323366432
1.55247,-1.02360098268759
1.552475,-1.02376876977478
1.55248,-1.02393659493604
1.552485,-1.02410445818153
1.55249,-1.02427235952141
1.552495,-1.02444029896586
1.5525,-1.02460827652504
1.552505,-1.02477629220912
1.55251,-1.02494434602828
1.552515,-1.0251124379927
1.55252,-1.02528056811256
1.552525,-1.02544873639804
1.55253,-1.02561694285935
1.552535,-1.02578518750665
1.55254,-1.02595347035015
1.552545,-1.02612179140005
1.55255,-1.02629015066653
1.552555,-1.02645854815981
1.55256,-1.0266269838901
1.552565,-1.0267954578676
1.55257,-1.02696397010251
1.552575,-1.02713252060506
1.55258,-1.02730110938546
1.552585,-1.02746973645394
1.55259,-1.02763840182071
1.552595,-1.027807105496
1.5526,-1.02797584749005
1.552605,-1.02814462781308
1.55261,-1.02831344647533
1.552615,-1.02848230348703
1.55262,-1.02865119885844
1.552625,-1.02882013259979
1.55263,-1.02898910472133
1.552635,-1.02915811523331
1.55264,-1.02932716414597
1.552645,-1.0294962514696
1.55265,-1.02966537721442
1.552655,-1.02983454139072
1.55266,-1.03000374400876
1.552665,-1.03017298507879
1.55267,-1.0303422646111
1.552675,-1.03051158261596
1.55268,-1.03068093910365
1.552685,-1.03085033408444
1.55269,-1.03101976756861
1.552695,-1.03118923956647
1.5527,-1.03135875008828
1.552705,-1.03152829914435
1.55271,-1.03169788674497
1.552715,-1.03186751290044
1.55272,-1.03203717762106
1.552725,-1.03220688091713
1.55273,-1.03237662279896
1.552735,-1.03254640327686
1.55274,-1.03271622236114
1.552745,-1.03288608006212
1.55275,-1.03305597639012
1.552755,-1.03322591135546
1.55276,-1.03339588496847
1.552765,-1.03356589723946
1.55277,-1.03373594817878
1.552775,-1.03390603779676
1.55278,-1.03407616610373
1.552785,-1.03424633311003
1.55279,-1.03441653882602
1.552795,-1.03458678326202
1.5528,-1.0347570664284
1.552805,-1.03492738833551
1.55281,-1.03509774899369
1.552815,-1.03526814841331
1.55282,-1.03543858660473
1.552825,-1.03560906357832
1.55283,-1.03577957934443
1.552835,-1.03595013391344
1.55284,-1.03612072729573
1.552845,-1.03629135950166
1.55285,-1.03646203054162
1.552855,-1.036632740426
1.55286,-1.03680348916516
1.552865,-1.03697427676952
1.55287,-1.03714510324945
1.552875,-1.03731596861534
1.55288,-1.03748687287761
1.552885,-1.03765781604664
1.55289,-1.03782879813285
1.552895,-1.03799981914662
1.5529,-1.03817087909839
1.552905,-1.03834197799856
1.55291,-1.03851311585753
1.552915,-1.03868429268574
1.55292,-1.03885550849361
1.552925,-1.03902676329156
1.55293,-1.03919805709001
1.552935,-1.03936938989939
1.55294,-1.03954076173015
1.552945,-1.03971217259272
1.55295,-1.03988362249753
1.552955,-1.04005511145504
1.55296,-1.04022663947568
1.552965,-1.0403982065699
1.55297,-1.04056981274816
1.552975,-1.04074145802091
1.55298,-1.0409131423986
1.552985,-1.04108486589172
1.55299,-1.0412566285107
1.552995,-1.04142843026603
1.553,-1.04160027116816
1.553005,-1.04177215122758
1.55301,-1.04194407045477
1.553015,-1.04211602886018
1.55302,-1.04228802645433
1.553025,-1.04246006324768
1.55303,-1.04263213925073
1.553035,-1.04280425447397
1.55304,-1.04297640892788
