"Freq [GHz]","dB(S(1,1)) []"
1.55,-1.73739551072238
1.550005,-1.73778564141234
1.55001,-1.73817589637482
1.550015,-1.73856627566006
1.55002,-1.73895677931824
1.550025,-1.73934740739967
1.55003,-1.73973815995462
1.550035,-1.74012903703338
1.55004,-1.74052003868631
1.550045,-1.74091116496374
1.55005,-1.74130241591607
1.550055,-1.74169379159373
1.55006,-1.74208529204711
1.550065,-1.74247691732669
1.55007,-1.74286866748298
1.550075,-1.74326054256645
1.55008,-1.74365254262767
1.550085,-1.74404466771716
1.55009,-1.74443691788553
1.550095,-1.7448292931834
1.5501,-1.74522179366137
1.550105,-1.74561441937015
1.55011,-1.74600717036039
1.550115,-1.7464000466828
1.55012,-1.74679304838815
1.550125,-1.74718617552716
1.55013,-1.74757942815065
1.550135,-1.74797280630941
1.55014,-1.7483663100543
1.550145,-1.74875993943618
1.55015,-1.74915369450591
1.550155,-1.74954757531442
1.55016,-1.74994158191268
1.550165,-1.75033571435162
1.55017,-1.75072997268225
1.550175,-1.75112435695557
1.55018,-1.75151886722262
1.550185,-1.7519135035345
1.55019,-1.75230826594226
1.550195,-1.75270315449704
1.5502,-1.75309816924999
1.550205,-1.75349331025226
1.55021,-1.75388857755507
1.550215,-1.75428397120961
1.55022,-1.75467949126715
1.550225,-1.75507513777897
1.55023,-1.75547091079633
1.550235,-1.75586681037059
1.55024,-1.75626283655307
1.550245,-1.75665898939517
1.55025,-1.75705526894829
1.550255,-1.75745167526382
1.55026,-1.75784820839325
1.550265,-1.75824486838806
1.55027,-1.75864165529972
1.550275,-1.75903856917979
1.55028,-1.7594356100798
1.550285,-1.75983277805135
1.55029,-1.76023007314605
1.550295,-1.76062749541551
1.5503,-1.76102504491142
1.550305,-1.76142272168543
1.55031,-1.76182052578927
1.550315,-1.76221845727467
1.55032,-1.7626165161934
1.550325,-1.76301470259723
1.55033,-1.76341301653802
1.550335,-1.76381145806755
1.55034,-1.76421002723773
1.550345,-1.76460872410043
1.55035,-1.76500754870757
1.550355,-1.76540650111111
1.55036,-1.76580558136301
1.550365,-1.76620478951527
1.55037,-1.76660412561989
1.550375,-1.76700358972894
1.55038,-1.76740318189452
1.550385,-1.76780290216868
1.55039,-1.76820275060357
1.550395,-1.76860272725137
1.5504,-1.76900283216422
1.550405,-1.76940306539435
1.55041,-1.76980342699397
1.550415,-1.77020391701535
1.55042,-1.77060453551079
1.550425,-1.77100528253259
1.55043,-1.77140615813308
1.550435,-1.77180716236463
1.55044,-1.77220829527963
1.550445,-1.7726095569305
1.55045,-1.77301094736968
1.550455,-1.77341246664963
1.55046,-1.77381411482287
1.550465,-1.7742158919419
1.55047,-1.77461779805929
1.550475,-1.77501983322758
1.55048,-1.7754219974994
1.550485,-1.77582429092738
1.55049,-1.77622671356416
1.550495,-1.77662926546244
1.5505,-1.7770319466749
1.550505,-1.77743475725428
1.55051,-1.77783769725338
1.550515,-1.77824076672493
1.55052,-1.77864396572178
1.550525,-1.77904729429678
1.55053,-1.77945075250277
1.550535,-1.77985434039267
1.55054,-1.78025805801937
1.550545,-1.78066190543584
1.55055,-1.78106588269505
1.550555,-1.78146998985
1.55056,-1.78187422695372
1.550565,-1.78227859405926
1.55057,-1.7826830912197
1.550575,-1.78308771848817
1.55058,-1.78349247591777
1.550585,-1.78389736356168
1.55059,-1.7843023814731
1.550595,-1.78470752970524
1.5506,-1.78511280831133
1.550605,-1.78551821734464
1.55061,-1.78592375685848
1.550615,-1.78632942690618
1.55062,-1.78673522754107
1.550625,-1.78714115881654
1.55063,-1.78754722078598
1.550635,-1.78795341350283
1.55064,-1.78835973702057
1.550645,-1.78876619139265
1.55065,-1.78917277667259
1.550655,-1.78957949291397
1.55066,-1.78998634017031
1.550665,-1.79039331849522
1.55067,-1.79080042794232
1.550675,-1.79120766856526
1.55068,-1.79161504041773
1.550685,-1.7920225435534
1.55069,-1.79243017802602
1.550695,-1.79283794388936
1.5507,-1.79324584119718
1.550705,-1.79365387000332
1.55071,-1.79406203036158
1.550715,-1.79447032232585
1.55072,-1.79487874595004
1.550725,-1.79528730128804
1.55073,-1.79569598839382
1.550735,-1.79610480732134
1.55074,-1.79651375812461
1.550745,-1.79692284085767
1.55075,-1.79733205557457
1.550755,-1.79774140232938
1.55076,-1.79815088117626
1.550765,-1.79856049216929
1.55077,-1.79897023536269
1.550775,-1.79938011081062
1.55078,-1.79979011856731
1.550785,-1.80020025868704
1.55079,-1.80061053122405
1.550795,-1.80102093623267
1.5508,-1.80143147376721
1.550805,-1.80184214388205
1.55081,-1.80225294663159
1.550815,-1.80266388207022
1.55082,-1.80307495025239
1.550825,-1.80348615123259
1.55083,-1.80389748506529
1.550835,-1.80430895180506
1.55084,-1.80472055150641
1.550845,-1.80513228422395
1.55085,-1.80554415001229
1.550855,-1.80595614892605
1.55086,-1.80636828101992
1.550865,-1.80678054634857
1.55087,-1.80719294496673
1.550875,-1.80760547692918
1.55088,-1.80801814229065
1.550885,-1.80843094110597
1.55089,-1.80884387342999
1.550895,-1.80925693931753
1.5509,-1.80967013882352
1.550905,-1.81008347200285
1.55091,-1.81049693891048
1.550915,-1.81091053960139
1.55092,-1.81132427413056
1.550925,-1.81173814255304
1.55093,-1.81215214492388
1.550935,-1.81256628129815
1.55094,-1.812980551731
1.550945,-1.81339495627753
1.55095,-1.81380949499295
1.550955,-1.81422416793245
1.55096,-1.81463897515123
1.550965,-1.81505391670458
1.55097,-1.81546899264775
1.550975,-1.81588420303608
1.55098,-1.8162995479249
1.550985,-1.81671502736957
1.55099,-1.8171306414255
1.550995,-1.8175463901481
1.551,-1.81796227359283
1.551005,-1.81837829181518
1.55101,-1.81879444487065
1.551015,-1.81921073281477
1.55102,-1.81962715570314
1.551025,-1.82004371359132
1.55103,-1.82046040653495
1.551035,-1.82087723458967
1.55104,-1.82129419781117
1.551045,-1.82171129625517
1.55105,-1.82212852997739
1.551055,-1.82254589903361
1.55106,-1.8229634034796
1.551065,-1.8233810433712
1.55107,-1.82379881876429
1.551075,-1.8242167297147
1.55108,-1.82463477627835
1.551085,-1.82505295851122
1.55109,-1.82547127646923
1.551095,-1.8258897302084
1.5511,-1.82630831978474
1.551105,-1.82672704525431
1.55111,-1.8271459066732
1.551115,-1.8275649040975
1.55112,-1.82798403758337
1.551125,-1.82840330718697
1.55113,-1.82882271296448
1.551135,-1.82924225497216
1.55114,-1.82966193326622
1.551145,-1.83008174790299
1.55115,-1.83050169893876
1.551155,-1.83092178642987
1.55116,-1.8313420104327
1.551165,-1.83176237100363
1.55117,-1.8321828681991
1.551175,-1.83260350207559
1.55118,-1.83302427268954
1.551185,-1.83344518009751
1.55119,-1.83386622435601
1.551195,-1.83428740552162
1.5512,-1.83470872365097
1.551205,-1.83513017880065
1.55121,-1.83555177102736
1.551215,-1.83597350038777
1.55122,-1.8363953669386
1.551225,-1.83681737073661
1.55123,-1.83723951183856
1.551235,-1.83766179030125
1.55124,-1.83808420618156
1.551245,-1.83850675953631
1.55125,-1.83892945042243
1.551255,-1.8393522788968
1.55126,-1.83977524501641
1.551265,-1.84019834883824
1.55127,-1.84062159041929
1.551275,-1.8410449698166
1.55128,-1.84146848708726
1.551285,-1.84189214228834
1.55129,-1.842315935477
1.551295,-1.84273986671039
1.5513,-1.84316393604568
1.551305,-1.84358814354012
1.55131,-1.84401248925093
1.551315,-1.84443697323541
1.55132,-1.84486159555085
1.551325,-1.84528635625459
1.55133,-1.84571125540401
1.551335,-1.84613629305649
1.55134,-1.84656146926945
1.551345,-1.84698678410038
1.55135,-1.84741223760672
1.551355,-1.84783782984602
1.55136,-1.8482635608758
1.551365,-1.84868943075365
1.55137,-1.84911543953718
1.551375,-1.84954158728399
1.55138,-1.84996787405179
1.551385,-1.85039429989823
1.55139,-1.85082086488105
1.551395,-1.85124756905802
1.5514,-1.8516744124869
1.551405,-1.85210139522551
1.55141,-1.85252851733171
1.551415,-1.85295577886334
1.55142,-1.85338317987834
1.551425,-1.8538107204346
1.55143,-1.85423840059012
1.551435,-1.85466622040288
1.55144,-1.85509417993089
1.551445,-1.85552227923221
1.55145,-1.85595051836495
1.551455,-1.85637889738719
1.55146,-1.85680741635709
1.551465,-1.8572360753328
1.55147,-1.85766487437256
1.551475,-1.85809381353459
1.55148,-1.85852289287713
1.551485,-1.85895211245851
1.55149,-1.85938147233702
1.551495,-1.85981097257104
1.5515,-1.86024061321896
1.551505,-1.86067039433917
1.55151,-1.86110031599013
1.551515,-1.86153037823033
1.55152,-1.86196058111825
1.551525,-1.86239092471246
1.55153,-1.86282140907148
1.551535,-1.86325203425394
1.55154,-1.86368280031847
1.551545,-1.86411370732371
1.55155,-1.86454475532839
1.551555,-1.86497594439117
1.55156,-1.86540727457084
1.551565,-1.86583874592618
1.55157,-1.86627035851599
1.551575,-1.86670211239911
1.55158,-1.86713400763443
1.551585,-1.86756604428083
1.55159,-1.86799822239727
1.551595,-1.86843054204269
1.5516,-1.86886300327609
1.551605,-1.86929560615653
1.55161,-1.869728350743
1.551615,-1.87016123709466
1.55162,-1.87059426527058
1.551625,-1.87102743532992
1.55163,-1.87146074733188
1.551635,-1.87189420133565
1.55164,-1.87232779740047
1.551645,-1.87276153558563
1.55165,-1.87319541595042
1.551655,-1.8736294385542
1.55166,-1.87406360345628
1.551665,-1.87449791071611
1.55167,-1.8749323603931
1.551675,-1.8753669525467
1.55168,-1.87580168723643
1.551685,-1.87623656452176
1.55169,-1.87667158446227
