"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,0.396837652028869
1.57542,0,-170,4.21676853873903
1.57542,0,-160,2.42767774772488
1.57542,0,-150,32.1578376714763
1.57542,0,-140,12.9023817301641
1.57542,0,-130,10.2951432125903
1.57542,0,-120,10.4039374460757
1.57542,0,-110,10.8772723128222
1.57542,0,-100,11.1316623819274
1.57542,0,-90,10.886185640937
1.57542,0,-80,10.0706724567952
1.57542,0,-70,8.87218439668166
1.57542,0,-60,7.55050726326043
1.57542,0,-50,6.29690590717638
1.57542,0,-40,5.25065181765126
1.57542,0,-30,4.88026652185226
1.57542,0,-20,9.44794210946552
1.57542,0,-10,7.72307758378733
1.57542,0,0,0.423280186439517
1.57542,0,10,6.62751105644315
1.57542,0,20,11.7551314881242
1.57542,0,30,5.84346930198319
1.57542,0,40,5.79874889342491
1.57542,0,50,6.63324940448396
1.57542,0,60,7.74183565314034
1.57542,0,70,8.96264327120232
1.57542,0,80,10.1027521957639
1.57542,0,90,10.8947913023077
1.57542,0,100,11.1290754594402
1.57542,0,110,10.8414626482498
1.57542,0,120,10.2661022781573
1.57542,0,130,9.88726546063123
1.57542,0,140,12.0728481069593
1.57542,0,150,32.0380697570458
1.57542,0,160,5.84034400505925
1.57542,0,170,5.03075862731917
1.57542,0,180,0.396837652028867
