"Freq [GHz]","dB(S(1,1)) []"
1.55,-1.80923003120765
1.550005,-1.80966666436813
1.55001,-1.81010345007968
1.550015,-1.81054038841052
1.55002,-1.81097747942884
1.550025,-1.81141472320293
1.55003,-1.8118521198011
1.550035,-1.81228966929164
1.55004,-1.81272737174297
1.550045,-1.81316522722347
1.55005,-1.81360323580161
1.550055,-1.81404139754589
1.55006,-1.8144797125248
1.550065,-1.81491818080693
1.55007,-1.8153568024609
1.550075,-1.81579557755532
1.55008,-1.81623450615889
1.550085,-1.81667358834031
1.55009,-1.81711282416834
1.550095,-1.8175522137118
1.5501,-1.81799175703949
1.550105,-1.8184314542203
1.55011,-1.81887130532312
1.550115,-1.81931131041692
1.55012,-1.81975146957067
1.550125,-1.82019178285339
1.55013,-1.82063225033416
1.550135,-1.82107287208207
1.55014,-1.82151364816626
1.550145,-1.82195457865593
1.55015,-1.82239566362024
1.550155,-1.82283690312848
1.55016,-1.82327829724997
1.550165,-1.823719846054
1.55017,-1.82416154960997
1.550175,-1.82460340798725
1.55018,-1.82504542125533
1.550185,-1.82548758948368
1.55019,-1.82592991274182
1.550195,-1.82637239109931
1.5502,-1.82681502462578
1.550205,-1.82725781339084
1.55021,-1.8277007574642
1.550215,-1.82814385691554
1.55022,-1.82858711181465
1.550225,-1.82903052223133
1.55023,-1.8294740882354
1.550235,-1.82991780989674
1.55024,-1.83036168728525
1.550245,-1.83080572047091
1.55025,-1.83124990952371
1.550255,-1.83169425451365
1.55026,-1.83213875551083
1.550265,-1.83258341258536
1.55027,-1.83302822580737
1.550275,-1.83347319524706
1.55028,-1.83391832097466
1.550285,-1.83436360306042
1.55029,-1.83480904157467
1.550295,-1.83525463658773
1.5503,-1.83570038817001
1.550305,-1.83614629639191
1.55031,-1.8365923613239
1.550315,-1.83703858303649
1.55032,-1.83748496160021
1.550325,-1.83793149708565
1.55033,-1.83837818956345
1.550335,-1.83882503910422
1.55034,-1.83927204577872
1.550345,-1.83971920965764
1.55035,-1.84016653081177
1.550355,-1.84061400931196
1.55036,-1.84106164522903
1.550365,-1.84150943863391
1.55037,-1.84195738959751
1.550375,-1.84240549819081
1.55038,-1.84285376448486
1.550385,-1.84330218855067
1.55039,-1.84375077045937
1.550395,-1.8441995102821
1.5504,-1.84464840809
1.550405,-1.84509746395434
1.55041,-1.84554667794633
1.550415,-1.84599605013728
1.55042,-1.84644558059855
1.550425,-1.84689526940148
1.55043,-1.84734511661752
1.550435,-1.8477951223181
1.55044,-1.84824528657473
1.550445,-1.84869560945895
1.55045,-1.84914609104233
1.550455,-1.84959673139648
1.55046,-1.85004753059309
1.550465,-1.85049848870382
1.55047,-1.85094960580043
1.550475,-1.85140088195469
1.55048,-1.85185231723841
1.550485,-1.85230391172348
1.55049,-1.85275566548177
1.550495,-1.85320757858525
1.5505,-1.85365965110585
1.550505,-1.85411188311563
1.55051,-1.85456427468666
1.550515,-1.85501682589101
1.55052,-1.85546953680083
1.550525,-1.85592240748834
1.55053,-1.8563754380257
1.550535,-1.85682862848525
1.55054,-1.85728197893923
1.550545,-1.85773548946001
1.55055,-1.85818916011999
1.550555,-1.85864299099157
1.55056,-1.85909698214725
1.550565,-1.85955113365951
1.55057,-1.86000544560091
1.550575,-1.86045991804406
1.55058,-1.86091455106156
1.550585,-1.8613693447261
1.55059,-1.8618242991104
1.550595,-1.8622794142872
1.5506,-1.86273469032931
1.550605,-1.86319012730955
1.55061,-1.8636457253008
1.550615,-1.86410148437601
1.55062,-1.8645574046081
1.550625,-1.86501348607009
1.55063,-1.86546972883502
1.550635,-1.86592613297597
1.55064,-1.86638269856608
1.550645,-1.86683942567849
1.55065,-1.86729631438642
1.550655,-1.86775336476315
1.55066,-1.86821057688192
1.550665,-1.8686679508161
1.55067,-1.86912548663903
1.550675,-1.86958318442415
1.55068,-1.87004104424493
1.550685,-1.87049906617482
1.55069,-1.87095725028739
1.550695,-1.87141559665623
1.5507,-1.87187410535493
1.550705,-1.87233277645721
1.55071,-1.87279161003671
1.550715,-1.87325060616721
1.55072,-1.87370976492252
1.550725,-1.87416908637642
1.55073,-1.87462857060283
1.550735,-1.87508821767564
1.55074,-1.87554802766881
1.550745,-1.87600800065636
1.55075,-1.8764681367123
