"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.5754,0,-180,22.4598348490973
1.5754,0,-170,4.59904790462191
1.5754,0,-160,7.15434621791456
1.5754,0,-150,61.5531630021046
1.5754,0,-140,8.99161343912355
1.5754,0,-130,6.27711743332492
1.5754,0,-120,6.80958290213784
1.5754,0,-110,7.08734477994513
1.5754,0,-100,6.68180868857149
1.5754,0,-90,5.91371931239549
1.5754,0,-80,5.10033075022417
1.5754,0,-70,4.51149519636739
1.5754,0,-60,4.43997002049385
1.5754,0,-50,5.10425022190638
1.5754,0,-40,6.53021174056636
1.5754,0,-30,8.74644083303827
1.5754,0,-20,12.1034975603462
1.5754,0,-10,18.0590303521474
1.5754,0,0,56.5111705735014
1.5754,0,10,17.8105863638096
1.5754,0,20,11.9313460276039
1.5754,0,30,8.62868895896318
1.5754,0,40,6.5383869866594
1.5754,0,50,5.36801716839038
1.5754,0,60,5.07393171812258
1.5754,0,70,5.49673958902949
1.5754,0,80,6.31195492401846
1.5754,0,90,7.18948996290337
1.5754,0,100,7.80531079391478
1.5754,0,110,7.77974290790418
1.5754,0,120,6.79230193579687
1.5754,0,130,5.39383426432778
1.5754,0,140,8.04300614382153
1.5754,0,150,30.9929684163539
1.5754,0,160,5.20957005960854
1.5754,0,170,6.44492844949611
1.5754,0,180,22.4598348490974
