"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.129014478556238
1.4003,-0.128314428987583
1.4006,-0.127620478834408
1.4009,-0.126932620914651
1.4012,-0.126250847587153
1.4015,-0.125575150755899
1.4018,-0.124905521874348
1.4021,-0.124241951949818
1.4024,-0.123584431547906
1.4027,-0.122932950796985
1.403,-0.122287499392721
1.4033,-0.121648066602687
1.4036,-0.121014641270971
1.4039,-0.120387211822869
1.4042,-0.119765766269606
1.4045,-0.1191502922131
1.4048,-0.118540776850769
1.4051,-0.117937206980369
1.4054,-0.117339569004888
1.4057,-0.11674784893745
1.406,-0.116162032406268
1.4063,-0.115582104659625
1.4066,-0.115008050570882
1.4069,-0.114439854643524
1.4072,-0.1138775010162
1.4075,-0.11332097346785
1.4078,-0.112770255422783
1.4081,-0.112225329955818
1.4084,-0.111686179797438
1.4087,-0.111152787338972
1.409,-0.110625134637743
1.4093,-0.110103203422306
1.4096,-0.109586975097639
1.4099,-0.109076430750367
1.4102,-0.108571551154007
1.4105,-0.108072316774191
1.4108,-0.10757870777392
1.4111,-0.107090704018822
1.4114,-0.106608285082394
1.4117,-0.106131430251272
1.412,-0.105660118530474
1.4123,-0.105194328648668
1.4126,-0.104734039063416
1.4129,-0.104279227966435
1.4132,-0.103829873288826
1.4135,-0.103385952706322
1.4138,-0.102947443644516
1.4141,-0.102514323284072
1.4144,-0.102086568565949
1.4147,-0.101664156196588
1.415,-0.101247062653099
1.4153,-0.100835264188427
1.4156,-0.100428736836513
1.4159,-0.100027456417426
1.4162,-0.0996313985424859
1.4165,-0.0992405386193605
1.4168,-0.0988548518571453
1.4171,-0.0984743132714225
1.4174,-0.0980988976893025
1.4177,-0.0977285797544269
1.418,-0.0973633339319709
1.4183,-0.0970031345135851
1.4186,-0.0966479556223572
1.4189,-0.0962977712177027
1.4192,-0.095952555100254
1.4195,-0.0956122809167064
1.4198,-0.095276922164654
1.4201,-0.0949464521973648
1.4204,-0.0946208442285453
1.4207,-0.0943000713370746
1.421,-0.093984106471689
1.4213,-0.0936729224556467
1.4216,-0.0933664919913507
1.4219,-0.0930647876649437
1.4222,-0.0927677819508574
1.4225,-0.0924754472163214
1.4228,-0.0921877557258697
1.4231,-0.0919046796457454
1.4234,-0.0916261910483399
1.4237,-0.09135226191653
1.424,-0.091082864148018
1.4243,-0.0908179695596091
1.4246,-0.0905575498914576
1.4249,-0.0903015768112752
1.4252,-0.0900500219184748
1.4255,-0.0898028567483146
1.4258,-0.0895600527759516
1.4261,-0.0893215814204945
1.4264,-0.089087414048981
1.4267,-0.0888575219803284
1.427,-0.0886318764892468
1.4273,-0.0884104488100874
1.4276,-0.0881932101406618
1.4279,-0.0879801316460155
1.4282,-0.087771184462146
1.4285,-0.087566339699697
1.4288,-0.0873655684475751
1.4291,-0.0871688417765611
1.4294,-0.0869761307428325
1.4297,-0.0867874063914828
1.43,-0.0866026397599559
1.4303,-0.0864218018814678
1.4306,-0.0862448637883518
1.4309,-0.0860717965153907
1.4312,-0.0859025711030625
1.4315,-0.0857371586007844
1.4318,-0.0855755300700727
1.4321,-0.0854176565876761
1.4324,-0.0852635092486555
1.4327,-0.085113059169429
1.433,-0.0849662774907446
1.4333,-0.0848231353806405
1.4336,-0.0846836040373347
1.4339,-0.0845476546920697
1.4342,-0.0844152586119263
1.4345,-0.0842863871025765
1.4348,-0.0841610115110006
1.4351,-0.0840391032281494
1.4354,-0.0839206336915651
1.4357,-0.0838055743879604
1.436,-0.0836938968557442
1.4363,-0.0835855726875114
1.4366,-0.0834805735324767
1.4369,-0.0833788710988753
1.4372,-0.0832804371563094
1.4375,-0.0831852435380532
1.4378,-0.0830932621433162
1.4381,-0.0830044649394618
1.4384,-0.0829188239641785
1.4387,-0.0828363113276111
1.439,-0.0827568992144446
1.4393,-0.0826805598859551
1.4396,-0.0826072656820022
1.4399,-0.0825369890229913
1.4402,-0.0824697024117918
1.4405,-0.082405378435611
1.4408,-0.0823439897678168
1.4411,-0.0822855091697431
1.4414,-0.0822299094924352
1.4417,-0.0821771636783561
1.442,-0.082127244763056
1.4423,-0.0820801258768056
1.4426,-0.0820357802461807
1.4429,-0.0819941811956152
1.4432,-0.0819553021489102
1.4435,-0.0819191166307097
1.4438,-0.0818855982679294
1.4441,-0.0818547207911512
1.4444,-0.0818264580359886
1.4447,-0.0818007839444048
1.445,-0.081777672565993
1.4453,-0.0817570980592238
1.4456,-0.0817390346926621
1.4459,-0.081723456846136
1.4462,-0.0817103390118854
1.4465,-0.0816996557956519
1.4468,-0.0816913819177617
1.4471,-0.0816854922141634
1.4474,-0.0816819616374129
1.4477,-0.081680765257663
