"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,4.20617122429391
1.57542,0,-170,3.20833441717133
1.57542,0,-160,9.04371187818566
1.57542,0,-150,35.0270191379763
1.57542,0,-140,14.2623809624847
1.57542,0,-130,11.1115930525092
1.57542,0,-120,9.5278663166069
1.57542,0,-110,8.38623284982937
1.57542,0,-100,7.42240110705516
1.57542,0,-90,6.51688607014098
1.57542,0,-80,5.61454556569994
1.57542,0,-70,4.7310091635053
1.57542,0,-60,3.93560014025044
1.57542,0,-50,3.34128420498429
1.57542,0,-40,3.08691210614861
1.57542,0,-30,3.22292611918779
1.57542,0,-20,3.60287645649489
1.57542,0,-10,3.99150913134701
1.57542,0,0,4.20991024265662
1.57542,0,10,4.18843079336511
1.57542,0,20,3.97507920474195
1.57542,0,30,3.71666317332112
1.57542,0,40,3.5995447048495
1.57542,0,50,3.74651948823284
1.57542,0,60,4.15135905541356
1.57542,0,70,4.7339568158285
1.57542,0,80,5.4221250087933
1.57542,0,90,6.17957515269352
1.57542,0,100,7.0104179094437
1.57542,0,110,7.96027354213012
1.57542,0,120,9.12133284059438
1.57542,0,130,10.7564330514657
1.57542,0,140,14.090442252726
1.57542,0,150,42.3373034347575
1.57542,0,160,8.73052859340327
1.57542,0,170,3.72554756451279
1.57542,0,180,4.20617122429391
