"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.644274162999946
1.40015,-0.645318745038765
1.4003,-0.646365808511046
1.40045,-0.647415361087967
1.4006,-0.648467410469554
1.40075,-0.649521964384805
1.4009,-0.65057903059183
1.40105,-0.65163861687797
1.4012,-0.652700731059926
1.40135,-0.653765380983908
1.4015,-0.654832574525747
1.40165,-0.655902319591047
1.4018,-0.656974624115302
1.40195,-0.658049496064037
1.4021,-0.659126943432945
1.40225,-0.66020697424803
1.4024,-0.661289596565723
1.40255,-0.662374818473038
1.4027,-0.663462648087703
1.40285,-0.664553093558295
1.403,-0.66564616306439
1.40315,-0.666741864816695
1.4033,-0.667840207057189
1.40345,-0.668941198059271
1.4036,-0.670044846127893
1.40375,-0.671151159599703
1.4039,-0.672260146843212
1.40405,-0.673371816258902
1.4042,-0.6744861762794
1.40435,-0.675603235369611
1.4045,-0.676723002026868
1.40465,-0.677845484781086
1.4048,-0.678970692194891
1.40495,-0.680098632863802
1.4051,-0.681229315416343
1.40525,-0.682362748514223
1.4054,-0.683498940852477
1.40555,-0.68463790115962
1.4057,-0.685779638197794
1.40585,-0.68692416076293
1.406,-0.688071477684903
1.40615,-0.68922159782768
1.4063,-0.690374530089489
1.40645,-0.69153028340296
1.4066,-0.692688866735299
1.40675,-0.693850289088438
1.4069,-0.6950145594992
1.40705,-0.696181687039458
1.4072,-0.697351680816282
1.40735,-0.698524549972144
1.4075,-0.699700303685025
1.40765,-0.70087895116861
1.4078,-0.702060501672477
1.40795,-0.703244964482199
1.4081,-0.704432348919582
1.40825,-0.705622664342777
1.4084,-0.706815920146477
1.40855,-0.708012125762083
1.4087,-0.709211290657867
1.40885,-0.710413424339158
1.409,-0.711618536348493
1.40915,-0.712826636265811
1.4093,-0.714037733708618
1.40945,-0.715251838332157
1.4096,-0.716468959829594
1.40975,-0.717689107932187
1.4099,-0.718912292409478
1.41005,-0.720138523069454
1.4102,-0.721367809758734
1.41035,-0.72260016236276
1.4105,-0.723835590805956
1.41065,-0.725074105051938
1.4108,-0.726315715103682
1.41095,-0.727560431003705
1.4111,-0.728808262834265
1.41125,-0.730059220717544
1.4114,-0.731313314815825
1.41155,-0.732570555331689
1.4117,-0.733830952508214
1.41185,-0.735094516629143
1.412,-0.736361258019112
1.41215,-0.737631187043798
1.4123,-0.738904314110148
1.41245,-0.740180649666563
1.4126,-0.741460204203095
1.41275,-0.742742988251644
1.4129,-0.74402901238615
1.41305,-0.745318287222806
1.4132,-0.746610823420254
1.41335,-0.747906631679782
1.4135,-0.749205722745523
1.41365,-0.750508107404676
1.4138,-0.751813796487696
1.41395,-0.753122800868507
1.4141,-0.754435131464712
1.41425,-0.755750799237791
1.4144,-0.757069815193316
1.41455,-0.758392190381175
1.4147,-0.759717935895761
1.41485,-0.761047062876202
1.415,-0.76237958250657
1.41515,-0.763715506016101
1.4153,-0.7650548446794
1.41545,-0.766397609816675
1.4156,-0.767743812793946
1.41575,-0.769093465023263
1.4159,-0.770446577962946
1.41605,-0.771803163117781
1.4162,-0.773163232039264
1.41635,-0.774526796325827
1.4165,-0.775893867623053
1.41665,-0.777264457623903
1.4168,-0.778638578068964
1.41695,-0.780016240746664
1.4171,-0.781397457493504
1.41725,-0.782782240194302
1.4174,-0.784170600782414
1.41755,-0.78556255123998
1.4177,-0.78695810359816
1.41785,-0.788357269937362
1.418,-0.789760062387499
1.41815,-0.791166493128219
1.4183,-0.792576574389148
1.41845,-0.793990318450144
1.4186,-0.795407737641515
1.41875,-0.796828844344315
1.4189,-0.798253650990537
1.41905,-0.799682170063398
1.4192,-0.801114414097585
1.41935,-0.802550395679489
1.4195,-0.803990127447493
1.41965,-0.805433622092186
1.4198,-0.806880892356655
1.41995,-0.808331951036722
1.4201,-0.809786810981213
1.42025,-0.811245485092216
1.4204,-0.81270798632535
1.42055,-0.814174327690012
1.4207,-0.815644522249665
1.42085,-0.817118583122096
1.421,-0.818596523479674
1.42115,-0.820078356549644
1.4213,-0.821564095614366
1.42145,-0.823053754011623
1.4216,-0.824547345134878
1.42175,-0.826044882433551
1.4219,-0.827546379413299
1.42205,-0.829051849636297
1.4222,-0.83056130672151
1.42235,-0.832074764345009
1.4225,-0.833592236240203
1.42265,-0.835113736198173
1.4228,-0.836639278067933
1.42295,-0.838168875756723
1.4231,-0.839702543230323
1.42325,-0.841240294513309
1.4234,-0.842782143689377
1.42355,-0.844328104901625
1.4237,-0.845878192352862
1.42385,-0.847432420305887
1.424,-0.848990803083827
1.42415,-0.850553355070402
1.4243,-0.852120090710256
1.42445,-0.853691024509252
1.4246,-0.855266171034778
1.42475,-0.856845544916077
1.4249,-0.858429160844534
1.42505,-0.860017033574016
1.4252,-0.86160917792116
1.42535,-0.863205608765713
1.4255,-0.864806341050851
1.42565,-0.866411389783482
1.4258,-0.86802077003459
1.42595,-0.869634496939553
1.4261,-0.871252585698466
1.42625,-0.872875051576485
1.4264,-0.874501909904133
1.42655,-0.876133176077662
1.4267,-0.877768865559371
1.42685,-0.879408993877947
1.427,-0.881053576628795
1.42715,-0.882702629474411
1.4273,-0.884356168144688
1.42745,-0.886014208437283
1.4276,-0.88767676621795
1.42775,-0.889343857420912
1.4279,-0.891015498049186
1.42805,-0.89269170417496
1.4282,-0.894372491939931
1.42835,-0.896057877555678
1.4285,-0.897747877304005
1.42865,-0.899442507537324
1.4288,-0.901141784678998
1.42895,-0.902845725223728
1.4291,-0.904554345737908
1.42925,-0.906267662859999
1.4294,-0.907985693300905
1.42955,-0.909708453844351
1.4297,-0.911435961347247
1.42985,-0.913168232740097
1.43,-0.914905285027343
1.43015,-0.916647135287779
1.4303,-0.91839380067493
1.43045,-0.920145298417434
1.4306,-0.921901645819449
1.43075,-0.923662860261034
1.4309,-0.925428959198545
1.43105,-0.927199960165042
1.4312,-0.928975880770692
1.43135,-0.930756738703169
1.4315,-0.932542551728045
1.43165,-0.934333337689228
1.4318,-0.936129114509355
1.43195,-0.937929900190203
1.4321,-0.939735712813127
1.43225,-0.941546570539445
1.4324,-0.943362491610887
1.43255,-0.945183494350016
1.4327,-0.947009597160636
1.43285,-0.948840818528245
1.433,-0.950677177020458
1.43315,-0.952518691287422
1.4333,-0.954365380062295
1.43345,-0.956217262161645
1.4336,-0.958074356485911
1.43375,-0.959936682019861
1.4339,-0.961804257833007
1.43405,-0.96367710308009
1.4342,-0.965555237001509
1.43435,-0.967438678923796
1.4345,-0.969327448260066
1.43465,-0.971221564510474
1.4348,-0.973121047262685
1.43495,-0.975025916192359
1.4351,-0.976936191063584
1.43525,-0.978851891729392
1.4354,-0.980773038132204
1.43555,-0.982699650304328
1.4357,-0.98463174836843
1.43585,-0.986569352538033
1.436,-0.98851248311799
1.43615,-0.990461160504994
1.4363,-0.992415405188054
1.43645,-0.994375237749002
1.4366,-0.996340678863013
1.43675,-0.998311749299064
1.4369,-1.00028846992049
1.43705,-1.00227086168546
1.4372,-1.00425894564752
1.43735,-1.00625274295608
1.4375,-1.00825227485696
1.43765,-1.0102575626929
1.4378,-1.01226862790408
1.43795,-1.01428549202867
1.4381,-1.01630817670336
1.43825,-1.0183367036639
1.4384,-1.0203710947456
1.43855,-1.02241137188395
1.4387,-1.02445755711508
1.43885,-1.02650967257639
1.439,-1.02856774050706
1.43915,-1.03063178324862
1.4393,-1.0327018232455
1.43945,-1.03477788304561
1.4396,-1.03685998530092
1.43975,-1.038948152768
1.4399,-1.04104240830861
1.44005,-1.0431427748903
1.4402,-1.04524927558696
1.44035,-1.04736193357944
1.4405,-1.04948077215611
1.44065,-1.05160581471349
1.4408,-1.05373708475681
1.44095,-1.05587460590065
1.4411,-1.05801840186951
1.44125,-1.06016849649845
1.4414,-1.0623249137337
1.44155,-1.06448767763326
1.4417,-1.06665681236755
1.44185,-1.06883234222
1.442,-1.07101429158772
1.44215,-1.07320268498212
