"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,1.74596855695432
1.57542,0,-170,3.20065768406692
1.57542,0,-160,11.1182968663252
1.57542,0,-150,24.7201272331955
1.57542,0,-140,14.7458001159691
1.57542,0,-130,13.350201692914
1.57542,0,-120,12.7846632669986
1.57542,0,-110,12.2067535159194
1.57542,0,-100,11.4672267586329
1.57542,0,-90,10.5190655501957
1.57542,0,-80,9.38330074071409
1.57542,0,-70,8.13891892838627
1.57542,0,-60,6.87086636467442
1.57542,0,-50,5.6460870686879
1.57542,0,-40,4.52731550973134
1.57542,0,-30,3.59259826750789
1.57542,0,-20,2.92811607243732
1.57542,0,-10,2.57526063622317
1.57542,0,0,2.48671520904548
1.57542,0,10,2.59537195633057
1.57542,0,20,2.90433134666477
1.57542,0,30,3.45248586100175
1.57542,0,40,4.23517894137592
1.57542,0,50,5.19862952284868
1.57542,0,60,6.27739610067836
1.57542,0,70,7.41290032634493
1.57542,0,80,8.54995236135492
1.57542,0,90,9.63368196097861
1.57542,0,100,10.6242693482963
1.57542,0,110,11.5159289435115
1.57542,0,120,12.3308065611956
1.57542,0,130,13.1913641914075
1.57542,0,140,15.0543133006805
1.57542,0,150,30.1567380012378
1.57542,0,160,9.59452038996279
1.57542,0,170,2.89369745025108
1.57542,0,180,1.74596855695431
