"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.531173399715169
1.40015,-0.531915968661069
1.4003,-0.532660063058698
1.40045,-0.533405686999177
1.4006,-0.534152844586887
1.40075,-0.534901539939523
1.4009,-0.535651777188139
1.40105,-0.536403560477204
1.4012,-0.537156893964659
1.40135,-0.537911781821965
1.4015,-0.538668228234145
1.40165,-0.53942623739986
1.4018,-0.540185813531438
1.40195,-0.540946960854947
1.4021,-0.541709683610239
1.40225,-0.542473986050992
1.4024,-0.543239872444794
1.40255,-0.544007347073171
1.4027,-0.544776414231646
1.40285,-0.545547078229805
1.403,-0.546319343391348
1.40315,-0.547093214054125
1.4033,-0.547868694570226
1.40345,-0.548645789306008
1.4036,-0.549424502642162
1.40375,-0.550204838973771
1.4039,-0.550986802710369
1.40405,-0.551770398275978
1.4042,-0.552555630109195
1.40435,-0.553342502663226
1.4045,-0.554131020405952
1.40465,-0.554921187819984
1.4048,-0.555713009402741
1.40495,-0.556506489666464
1.4051,-0.557301633138319
1.40525,-0.558098444360436
1.4054,-0.558896927889966
1.40555,-0.559697088299147
1.4057,-0.560498930175361
1.40585,-0.561302458121198
1.406,-0.562107676754508
1.40615,-0.562914590708469
1.4063,-0.563723204631645
1.40645,-0.564533523188048
1.4066,-0.565345551057193
1.40675,-0.566159292934171
1.4069,-0.566974753529708
1.40705,-0.567791937570215
1.4072,-0.568610849797865
1.40735,-0.569431494970653
1.4075,-0.570253877862454
1.40765,-0.571078003263086
1.4078,-0.571903875978381
1.40795,-0.57273150083025
1.4081,-0.573560882656729
1.40825,-0.57439202631207
1.4084,-0.575224936666781
1.40855,-0.576059618607715
1.4087,-0.576896077038107
1.40885,-0.577734316877675
1.409,-0.578574343062653
1.40915,-0.579416160545877
1.4093,-0.580259774296842
1.40945,-0.581105189301786
1.4096,-0.581952410563727
1.40975,-0.58280144310256
1.4099,-0.583652291955115
1.41005,-0.584504962175213
1.4102,-0.585359458833749
1.41035,-0.586215787018766
1.4105,-0.587073951835508
1.41065,-0.587933958406498
1.4108,-0.588795811871599
1.41095,-0.589659517388111
1.4111,-0.590525080130809
1.41125,-0.591392505292032
1.4114,-0.592261798081745
1.41155,-0.593132963727624
1.4117,-0.594006007475116
1.41185,-0.594880934587513
1.412,-0.595757750346029
1.41215,-0.596636460049869
1.4123,-0.597517069016305
1.41245,-0.59839958258075
1.4126,-0.599284006096823
1.41275,-0.600170344936443
1.4129,-0.601058604489882
1.41305,-0.601948790165856
1.4132,-0.60284090739159
1.41335,-0.603734961612896
1.4135,-0.604630958294257
1.41365,-0.605528902918897
1.4138,-0.606428800988849
1.41395,-0.60733065802506
1.4141,-0.608234479567435
1.41425,-0.609140271174934
1.4144,-0.61004803842565
1.41455,-0.610957786916884
1.4147,-0.611869522265221
1.41485,-0.612783250106624
1.415,-0.613698976096485
1.41515,-0.614616705909741
1.4153,-0.615536445240928
1.41545,-0.616458199804273
1.4156,-0.617381975333774
1.41575,-0.618307777583279
1.4159,-0.619235612326585
1.41605,-0.620165485357484
1.4162,-0.621097402489882
1.41635,-0.622031369557872
1.4165,-0.622967392415804
1.41665,-0.623905476938387
1.4168,-0.624845629020765
1.41695,-0.625787854578605
1.4171,-0.626732159548186
1.41725,-0.627678549886464
1.4174,-0.628627031571197
1.41755,-0.62957761060099
1.4177,-0.630530292995414
1.41785,-0.631485084795078
1.418,-0.632441992061719
1.41815,-0.63340102087829
1.4183,-0.634362177349054
1.41845,-0.635325467599668
1.4186,-0.63629089777728
1.41875,-0.637258474050598
1.4189,-0.638228202610023
1.41905,-0.639200089667687
1.4192,-0.64017414145759
1.41935,-0.641150364235662
1.4195,-0.642128764279874
1.41965,-0.64310934789032
1.4198,-0.644092121389315
1.41995,-0.645077091121492
1.4201,-0.646064263453884
1.42025,-0.647053644776031
1.4204,-0.648045241500073
1.42055,-0.64903906006084
1.4207,-0.650035106915959
1.42085,-0.651033388545934
1.421,-0.652033911454261
1.42115,-0.653036682167518
1.4213,-0.654041707235456
1.42145,-0.655048993231105
1.4216,-0.65605854675088
1.42175,-0.657070374414665
1.4219,-0.658084482865929
1.42205,-0.659100878771806
1.4222,-0.660119568823228
1.42235,-0.661140559734984
1.4225,-0.662163858245861
1.42265,-0.663189471118731
1.4228,-0.664217405140651
1.42295,-0.665247667122962
1.4231,-0.666280263901414
1.42325,-0.667315202336251
1.4234,-0.668352489312325
1.42355,-0.669392131739193
1.4237,-0.670434136551248
1.42385,-0.671478510707778
1.424,-0.672525261193133
1.42415,-0.673574395016785
1.4243,-0.674625919213464
1.42445,-0.675679840843248
1.4246,-0.676736166991688
1.42475,-0.67779490476991
1.4249,-0.678856061314732
1.42505,-0.67991964378877
1.4252,-0.680985659380546
1.42535,-0.682054115304599
1.4255,-0.683125018801628
1.42565,-0.684198377138552
1.4258,-0.685274197608675
1.42595,-0.686352487531777
1.4261,-0.687433254254217
1.42625,-0.688516505149072
1.4264,-0.689602247616252
1.42655,-0.690690489082601
1.4267,-0.691781237002027
1.42685,-0.692874498855609
1.427,-0.693970282151739
1.42715,-0.695068594426209
1.4273,-0.696169443242354
1.42745,-0.697272836191176
1.4276,-0.698378780891445
1.42775,-0.69948728498983
1.4279,-0.700598356161033
1.42805,-0.701712002107898
1.4282,-0.702828230561535
1.42835,-0.703947049281459
1.4285,-0.705068466055691
1.42865,-0.706192488700909
1.4288,-0.707319125062564
1.42895,-0.708448383014992
1.4291,-0.709580270461576
1.42925,-0.710714795334834
1.4294,-0.711851965596584
1.42955,-0.712991789238052
1.4297,-0.714134274279998
1.42985,-0.715279428772879
1.43,-0.716427260796942
1.43015,-0.717577778462383
1.4303,-0.718730989909459
1.43045,-0.719886903308651
1.4306,-0.721045526860766
1.43075,-0.722206868797095
1.4309,-0.723370937379534
1.43105,-0.724537740900736
1.4312,-0.725707287684238
1.43135,-0.726879586084603
1.4315,-0.728054644487547
1.43165,-0.729232471310106
1.4318,-0.730413075000739
1.43195,-0.731596464039504
1.4321,-0.73278264693818
1.43225,-0.73397163224042
1.4324,-0.735163428521874
1.43255,-0.736358044390361
1.4327,-0.737555488486
1.43285,-0.738755769481343
1.433,-0.739958896081552
1.43315,-0.741164877024511
1.4333,-0.742373721081009
1.43345,-0.743585437054858
1.4336,-0.744800033783058
1.43375,-0.746017520135951
1.4339,-0.747237905017355
1.43405,-0.748461197364739
1.4342,-0.749687406149351
1.43435,-0.750916540376395
1.4345,-0.752148609085163
1.43465,-0.753383621349212
1.4348,-0.754621586276504
1.43495,-0.755862513009566
1.4351,-0.757106410725657
1.43525,-0.758353288636912
1.4354,-0.759603155990508
1.43555,-0.760856022068832
1.4357,-0.762111896189627
1.43585,-0.763370787706175
1.436,-0.764632706007429
1.43615,-0.765897660518206
