"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,2.79726255409644
1.57542,0,-170,2.41772915482563
1.57542,0,-160,10.1011870307521
1.57542,0,-150,24.986768925396
1.57542,0,-140,13.3679836979035
1.57542,0,-130,10.9421609805493
1.57542,0,-120,9.65619413917353
1.57542,0,-110,8.67005253448658
1.57542,0,-100,7.79414760114625
1.57542,0,-90,6.93237828110322
1.57542,0,-80,6.03829460251492
1.57542,0,-70,5.12284624745025
1.57542,0,-60,4.2342451261138
1.57542,0,-50,3.45258931028042
1.57542,0,-40,2.90534818266882
1.57542,0,-30,2.72380215201073
1.57542,0,-20,2.87735685293943
1.57542,0,-10,3.14934342243662
1.57542,0,0,3.334342326669
1.57542,0,10,3.34895566362808
1.57542,0,20,3.23939061492038
1.57542,0,30,3.15253313133735
1.57542,0,40,3.25910120216976
1.57542,0,50,3.6384247815918
1.57542,0,60,4.24686515491591
1.57542,0,70,4.99599853356884
1.57542,0,80,5.81106140588819
1.57542,0,90,6.64505036343652
1.57542,0,100,7.49137887911275
1.57542,0,110,8.39425224382071
1.57542,0,120,9.44962472875558
1.57542,0,130,10.9323952185634
1.57542,0,140,14.1852247769174
1.57542,0,150,49.4354721439934
1.57542,0,160,8.17920878877674
1.57542,0,170,2.8277003466094
1.57542,0,180,2.79726255409644
