"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.646793114513118
1.40015,-0.647825149095415
1.4003,-0.648859603581408
1.40045,-0.649896485404954
1.4006,-0.650935802027952
1.40075,-0.651977560940439
1.4009,-0.653021769660736
1.40105,-0.654068435735574
1.4012,-0.655117566740209
1.40135,-0.656169170278578
1.4015,-0.657223253983398
1.40165,-0.658279825516323
1.4018,-0.659338892568066
1.40195,-0.660400462858528
1.4021,-0.661464544136937
1.40225,-0.662531144181983
1.4024,-0.663600270801941
1.40255,-0.664671931834829
1.4027,-0.66574613514852
1.40285,-0.666822888640885
1.403,-0.667902200239951
1.40315,-0.668984077904008
1.4033,-0.670068529621775
1.40345,-0.671155563412524
1.4036,-0.672245187326217
1.40375,-0.67333740944367
1.4039,-0.674432237876676
1.40405,-0.675529680768145
1.4042,-0.676629746292262
1.40435,-0.677732442654625
1.4045,-0.678837778092387
1.40465,-0.679945760874412
1.4048,-0.6810563993014
1.40495,-0.682169701706068
1.4051,-0.683285676453271
1.40525,-0.684404331940159
1.4054,-0.685525676596333
1.40555,-0.68664971888399
1.4057,-0.687776467298074
1.40585,-0.68890593036643
1.406,-0.690038116649965
1.40615,-0.691173034742786
1.4063,-0.692310693272376
1.40645,-0.693451100899728
1.4066,-0.694594266319513
1.40675,-0.695740198260246
1.4069,-0.696888905484424
1.40705,-0.698040396788705
1.4072,-0.69919468100406
1.40735,-0.700351766995925
1.4075,-0.701511663664379
1.40765,-0.702674379944306
1.4078,-0.703839924805539
1.40795,-0.705008307253055
1.4081,-0.706179536327109
1.40825,-0.707353621103425
1.4084,-0.708530570693354
1.40855,-0.709710394244038
1.4087,-0.710893100938595
1.40885,-0.712078699996267
1.409,-0.713267200672605
1.40915,-0.714458612259648
1.4093,-0.715652944086074
1.40945,-0.716850205517397
1.4096,-0.718050405956135
1.40975,-0.719253554841972
1.4099,-0.720459661651957
1.41005,-0.721668735900668
1.4102,-0.722880787140392
1.41035,-0.72409582496132
1.4105,-0.725313858991695
1.41065,-0.726534898898036
1.4108,-0.727758954385288
1.41095,-0.728986035197023
1.4111,-0.730216151115624
1.41125,-0.73144931196246
1.4114,-0.732685527598082
1.41155,-0.733924807922419
1.4117,-0.735167162874954
1.41185,-0.736412602434912
1.412,-0.737661136621476
1.41215,-0.738912775493946
1.4123,-0.740167529151959
1.41245,-0.741425407735672
1.4126,-0.742686421425958
1.41275,-0.743950580444613
1.4129,-0.745217895054534
1.41305,-0.746488375559944
1.4132,-0.747762032306567
1.41335,-0.749038875681856
1.4135,-0.750318916115168
1.41365,-0.751602164077993
1.4138,-0.752888630084136
1.41395,-0.75417832468995
1.4141,-0.755471258494513
1.41425,-0.756767442139863
1.4144,-0.758066886311198
1.41455,-0.759369601737069
1.4147,-0.760675599189634
1.41485,-0.76198488948483
1.415,-0.763297483482611
1.41515,-0.76461339208715
1.4153,-0.765932626247077
1.41545,-0.76725519695567
1.4156,-0.7685811152511
1.41575,-0.769910392216636
1.4159,-0.771243038980873
1.41605,-0.772579066717954
1.4162,-0.773918486647796
1.41635,-0.775261310036318
1.4165,-0.776607548195657
1.41665,-0.777957212484429
1.4168,-0.779310314307904
1.41695,-0.780666865118297
1.4171,-0.78202687641496
1.41725,-0.783390359744634
1.4174,-0.784757326701686
1.41755,-0.786127788928323
1.4177,-0.78750175811487
1.41785,-0.788879245999972
1.418,-0.790260264370859
1.41815,-0.791644825063576
1.4183,-0.793032939963233
1.41845,-0.794424621004246
1.4186,-0.795819880170595
1.41875,-0.79721872949605
1.4189,-0.798621181064452
1.41905,-0.800027247009939
1.4192,-0.801436939517204
1.41935,-0.802850270821751
1.4195,-0.804267253210163
1.41965,-0.80568789902034
1.4198,-0.807112220641769
1.41995,-0.808540230515782
1.4201,-0.80997194113581
1.42025,-0.811407365047668
1.4204,-0.812846514849798
1.42055,-0.814289403193542
1.4207,-0.815736042783418
1.42085,-0.817186446377375
1.421,-0.818640626787086
1.42115,-0.820098596878198
1.4213,-0.821560369570627
1.42145,-0.823025957838808
1.4216,-0.824495374712014
1.42175,-0.825968633274586
1.4219,-0.827445746666253
1.42205,-0.828926728082407
1.4222,-0.830411590774369
1.42235,-0.831900348049702
1.4225,-0.833393013272478
1.42265,-0.834889599863575
1.4228,-0.83639012130098
1.42295,-0.837894591120064
1.4231,-0.839403022913889
1.42325,-0.840915430333503
1.4234,-0.842431827088236
1.42355,-0.843952226946002
1.4237,-0.845476643733608
1.42385,-0.847005091337042
1.424,-0.848537583701801
1.42415,-0.850074134833181
1.4243,-0.8516147587966
1.42445,-0.853159469717901
1.4246,-0.854708281783658
1.42475,-0.856261209241525
1.4249,-0.85781826640051
1.42505,-0.859379467631326
1.4252,-0.860944827366706
1.42535,-0.862514360101709
1.4255,-0.864088080394076
1.42565,-0.865666002864528
1.4258,-0.867248142197116
1.42595,-0.868834513139545
1.4261,-0.870425130503505
1.42625,-0.872020009165009
1.4264,-0.873619164064733
1.42655,-0.875222610208362
1.4267,-0.876830362666911
1.42685,-0.87844243657709
1.427,-0.880058847141648
1.42715,-0.881679609629703
1.4273,-0.883304739377121
1.42745,-0.884934251786844
1.4276,-0.886568162329258
1.42775,-0.888206486542548
1.4279,-0.889849240033057
1.42805,-0.891496438475646
1.4282,-0.89314809761406
1.42835,-0.894804233261298
1.4285,-0.896464861299965
1.42865,-0.898129997682671
1.4288,-0.899799658432375
1.42895,-0.901473859642788
1.4291,-0.903152617478725
1.42925,-0.904835948176504
1.4294,-0.906523868044322
1.42955,-0.908216393462633
1.4297,-0.909913540884555
1.42985,-0.911615326836245
1.43,-0.91332176791728
1.43015,-0.915032880801093
1.4303,-0.916748682235321
1.43045,-0.918469189042242
1.4306,-0.920194418119162
1.43075,-0.921924386438818
1.4309,-0.923659111049795
1.43105,-0.925398609076925
1.4312,-0.927142897721718
1.43135,-0.928891994262756
1.4315,-0.930645916056125
1.43165,-0.932404680535834
1.4318,-0.93416830521424
1.43195,-0.935936807682464
1.4321,-0.937710205610839
1.43225,-0.939488516749324
1.4324,-0.941271758927947
1.43255,-0.94305995005724
1.4327,-0.944853108128692
1.43285,-0.946651251215166
1.433,-0.948454397471372
1.43315,-0.950262565134293
1.4333,-0.952075772523665
1.43345,-0.953894038042397
1.4336,-0.955717380177067
1.43375,-0.957545817498348
1.4339,-0.95937936866149
1.43405,-0.961218052406787
1.4342,-0.963061887560037
1.43435,-0.964910893033038
1.4345,-0.966765087824033
1.43465,-0.968624491018205
1.4348,-0.970489121788159
1.43495,-0.972358999394417
1.4351,-0.974234143185882
1.43525,-0.97611457260036
1.4354,-0.978000307165022
1.43555,-0.979891366496933
1.4357,-0.981787770303537
1.43585,-0.983689538383171
1.436,-0.985596690625563
1.43615,-0.987509247012349
1.4363,-0.989427227617581
1.43645,-0.991350652608275
1.4366,-0.993279542244888
1.43675,-0.995213916881879
1.4369,-0.997153796968224
1.43705,-0.999099203047942
1.4372,-1.00105015576065
1.43735,-1.00300667584208
1.4375,-1.00496878412464
1.43765,-1.00693650153798
1.4378,-1.00890984910945
1.43795,-1.0108888479648
1.4381,-1.0128735193286
1.43825,-1.01486388452489
1.4384,-1.01685996497772
1.43855,-1.01886178221171
1.4387,-1.02086935785261
1.43885,-1.02288271362792
1.439,-1.02490187136745
1.43915,-1.02692685300388
1.4393,-1.0289576805734
1.43945,-1.03099437621623
1.4396,-1.03303696217732
1.43975,-1.03508546080684
1.4399,-1.03713989456086
1.44005,-1.03920028600193
1.4402,-1.04126665779969
1.44035,-1.04333903273153
1.4405,-1.04541743368314
1.44065,-1.04750188364919
1.4408,-1.04959240573394
1.44095,-1.05168902315189
1.4411,-1.05379175922838
1.44125,-1.0559006374003
1.4414,-1.05801568121668
1.44155,-1.06013691433934
1.4417,-1.06226436054359
1.44185,-1.06439804371888
1.442,-1.06653798786942
1.44215,-1.06868421711491
1.4423,-1.07083675569119
1.44245,-1.07299562795089
1.4426,-1.0751608583642
1.44275,-1.07733247151944
1.4429,-1.07951049212385
1.44305,-1.08169494500426
1.4432,-1.08388585510778
1.44335,-1.08608324750251
1.4435,-1.08828714737826
1.44365,-1.0904975800473
1.4438,-1.09271457094502
1.44395,-1.09493814563071
1.4441,-1.09716832978826
1.44425,-1.09940514922693
1.4444,-1.10164862988207
1.44455,-1.10389879781588
1.4447,-1.10615567921816
1.44485,-1.10841930040707
1.445,-1.11068968782991
1.44515,-1.11296686806387
1.4453,-1.11525086781682
1.44545,-1.11754171392807
1.4456,-1.11983943336918
1.44575,-1.12214405324476
1.4459,-1.12445560079324
1.44605,-1.12677410338768
1.4462,-1.12909958853662
1.44635,-1.13143208388484
1.4465,-1.1337716172142
1.44665,-1.13611821644449
1.4468,-1.13847190963424
1.44695,-1.14083272498156
1.4471,-1.14320069082499
1.44725,-1.14557583564436
1.4474,-1.14795818806163
1.44755,-1.15034777684177
1.4477,-1.15274463089363
1.44785,-1.15514877927078
1.448,-1.15756025117245
1.44815,-1.15997907594437
1.4483,-1.16240528307971
1.44845,-1.16483890221993
1.4486,-1.16727996315573
1.44875,-1.16972849582794
1.4489,-1.17218453032847
1.44905,-1.17464809690119
1.4492,-1.17711922594294
1.44935,-1.17959794800438
1.4495,-1.18208429379101
1.44965,-1.1845782941641
1.4498,-1.18707998014164
1.44995,-1.18958938289936
1.4501,-1.19210653377162
1.45025,-1.19463146425248
1.4504,-1.19716420599665
1.45055,-1.19970479082048
1.4507,-1.202253250703
1.45085,-1.20480961778691
1.451,-1.20737392437959
1.45115,-1.20994620295416
1.4513,-1.21252648615049
1.45145,-1.21511480677626
1.4516,-1.217711197808
1.45175,-1.22031569239215
1.4519,-1.22292832384615
1.45205,-1.22554912565947
1.4522,-1.22817813149475
1.45235,-1.23081537518883
1.4525,-1.2334608907539
1.45265,-1.23611471237858
1.4528,-1.23877687442904
1.45295,-1.24144741145016
1.4531,-1.2441263581666
1.45325,-1.24681374948397
1.4534,-1.24950962049
1.45355,-1.25221400645568
1.4537,-1.25492694283643
1.45385,-1.25764846527325
1.454,-1.26037860959397
1.45415,-1.26311741181437
1.4543,-1.26586490813945
1.45445,-1.26862113496458
1.4546,-1.27138612887677
1.45475,-1.27415992665588
1.4549,-1.27694256527585
1.45505,-1.27973408190599
1.4552,-1.28253451391217
1.45535,-1.28534389885818
1.4555,-1.28816227450692
1.45565,-1.29098967882174
1.4558,-1.29382614996773
1.45595,-1.29667172631302
1.4561,-1.29952644643012
1.45625,-1.30239034909719
1.4564,-1.30526347329946
1.45655,-1.30814585823053
1.4567,-1.31103754329372
1.45685,-1.31393856810348
1.457,-1.31684897248674
1.45715,-1.31976879648431
1.4573,-1.32269808035228
1.45745,-1.32563686456345
1.4576,-1.32858518980873
1.45775,-1.33154309699858
1.4579,-1.33451062726448
1.45805,-1.33748782196036
1.4582,-1.34047472266406
1.45835,-1.34347137117887
1.4585,-1.34647780953495
1.45865,-1.34949407999088
1.4588,-1.35252022503515
1.45895,-1.35555628738772
1.4591,-1.35860231000152
1.45925,-1.36165833606404
1.4594,-1.36472440899886
1.45955,-1.36780057246724
1.4597,-1.37088687036974
1.45985,-1.37398334684777
1.46,-1.37709004628522
1.46015,-1.38020701331013
1.4603,-1.38333429279626
1.46045,-1.38647192986479
1.4606,-1.38961996988599
1.46075,-1.39277845848088
1.4609,-1.39594744152292
1.46105,-1.39912696513972
1.4612,-1.4023170757148
1.46135,-1.40551781988925
1.4615,-1.40872924456354
1.46165,-1.41195139689928
1.4618,-1.41518432432093
1.46195,-1.41842807451768
1.4621,-1.42168269544521
1.46225,-1.42494823532749
1.4624,-1.42822474265867
1.46255,-1.43151226620489
1.4627,-1.43481085500613
1.46285,-1.43812055837815
1.463,-1.44144142591433
1.46315,-1.44477350748761
1.4633,-1.44811685325238
1.46345,-1.45147151364648
1.4636,-1.4548375393931
1.46375,-1.4582149815028
1.4639,-1.46160389127547
1.46405,-1.46500432030234
1.4642,-1.46841632046801
1.46435,-1.4718399439525
1.4645,-1.47527524323328
1.46465,-1.47872227108737
1.4648,-1.4821810805934
1.46495,-1.48565172513375
1.4651,-1.48913425839667
1.46525,-1.49262873437838
1.4654,-1.4961352073853
1.46555,-1.49965373203616
1.4657,-1.50318436326427
1.46585,-1.50672715631966
1.466,-1.51028216677134
1.46615,-1.5138494505096
1.4663,-1.5174290637482
1.46645,-1.52102106302673
1.4666,-1.52462550521287
1.46675,-1.52824244750474
1.4669,-1.53187194743325
1.46705,-1.53551406286447
1.4672,-1.53916885200201
1.46735,-1.54283637338941
1.4675,-1.5465166859126
1.46765,-1.55020984880235
1.4678,-1.55391592163671
1.46795,-1.55763496434352
1.4681,-1.56136703720292
1.46825,-1.56511220084987
1.4684,-1.56887051627673
1.46855,-1.57264204483581
1.4687,-1.576426848242
1.46885,-1.58022498857534
1.469,-1.58403652828372
1.46915,-1.58786153018549
1.4693,-1.59170005747222
1.46945,-1.59555217371132
1.4696,-1.59941794284885
1.46975,-1.60329742921225
1.4699,-1.60719069751312
1.47005,-1.61109781285003
1.4702,-1.61501884071133
1.47035,-1.61895384697807
1.4705,-1.62290289792678
1.47065,-1.62686606023247
1.4708,-1.63084340097148
1.47095,-1.63483498762452
1.4711,-1.63884088807956
1.47125,-1.64286117063489
1.4714,-1.64689590400216
1.47155,-1.65094515730941
1.4717,-1.65500900010417
1.47185,-1.65908750235657
1.472,-1.66318073446248
1.47215,-1.66728876724668
1.4723,-1.67141167196608
1.47245,-1.67554952031288
1.4726,-1.67970238441791
1.47275,-1.68387033685382
1.4729,-1.68805345063845
1.47305,-1.69225179923816
1.4732,-1.6964654565712
1.47335,-1.70069449701108
1.4735,-1.70493899539004
1.47365,-1.70919902700247
1.4738,-1.71347466760844
1.47395,-1.71776599343719
1.4741,-1.7220730811907
1.47425,-1.72639600804727
1.4744,-1.73073485166513
1.47455,-1.73508969018609
1.4747,-1.73946060223925
1.47485,-1.74384766694466
1.475,-1.74825096391713
1.47515,-1.75267057326995
1.4753,-1.75710657561875
1.47545,-1.76155905208535
1.4756,-1.76602808430162
1.47575,-1.77051375441342
1.4759,-1.77501614508453
1.47605,-1.77953533950068
1.4762,-1.78407142137355
1.47635,-1.78862447494484
1.4765,-1.79319458499038
1.47665,-1.79778183682426
1.4768,-1.80238631630299
1.47695,-1.80700810982978
1.4771,-1.8116473043587
1.47725,-1.81630398739904
1.4774,-1.82097824701962
1.47755,-1.82567017185316
1.4777,-1.83037985110069
1.47785,-1.83510737453601
1.478,-1.83985283251017
1.47815,-1.84461631595603
1.4783,-1.84939791639279
1.47845,-1.85419772593067
1.4786,-1.85901583727552
1.47875,-1.86385234373355
1.4789,-1.86870733921606
1.47905,-1.87358091824426
1.4792,-1.87847317595408
1.47935,-1.88338420810107
1.4795,-1.88831411106531
1.47965,-1.89326298185642
1.4798,-1.89823091811852
1.47995,-1.90321801813534
1.4801,-1.90822438083535
1.48025,-1.91325010579686
1.4804,-1.91829529325331
1.48055,-1.92336004409845
1.4807,-1.9284444598917
1.48085,-1.93354864286352
1.481,-1.93867269592077
1.48115,-1.94381672265221
1.4813,-1.948980827334
1.48145,-1.95416511493526
1.4816,-1.95936969112371
1.48175,-1.96459466227132
1.4819,-1.96984013546003
1.48205,-1.97510621848757
1.4822,-1.98039301987321
1.48235,-1.98570064886376
1.4825,-1.99102921543944
1.48265,-1.99637883031991
1.4828,-2.00174960497033
1.48295,-2.00714165160745
1.4831,-2.01255508320585
1.48325,-2.01799001350412
1.4834,-2.02344655701118
1.48355,-2.02892482901265
1.4837,-2.03442494557723
1.48385,-2.03994702356322
1.484,-2.04549118062506
1.48415,-2.0510575352199
1.4843,-2.05664620661434
1.48445,-2.06225731489106
1.4846,-2.06789098095574
1.48475,-2.07354732654386
1.4849,-2.07922647422764
1.48505,-2.08492854742304
1.4852,-2.09065367039685
1.48535,-2.09640196827382
1.4855,-2.10217356704385
1.48565,-2.1079685935693
1.4858,-2.11378717559233
1.48595,-2.11962944174232
1.4861,-2.12549552154333
1.48625,-2.13138554542176
1.4864,-2.1372996447139
1.48655,-2.14323795167371
1.4867,-2.1492005994806
1.48685,-2.15518772224725
1.487,-2.16119945502768
1.48715,-2.16723593382515
1.4873,-2.17329729560036
1.48745,-2.17938367827959
1.4876,-2.18549522076299
1.48775,-2.19163206293294
1.4879,-2.19779434566246
1.48805,-2.20398221082376
1.4882,-2.21019580129685
1.48835,-2.21643526097816
1.4885,-2.22270073478942
1.48865,-2.22899236868648
1.4888,-2.23531030966823
1.48895,-2.24165470578571
1.4891,-2.24802570615121
1.48925,-2.25442346094749
1.4894,-2.26084812143712
1.48955,-2.2672998399719
1.4897,-2.27377877000236
1.48985,-2.28028506608734
1.49,-2.28681888390375
1.49015,-2.29338038025632
1.4903,-2.29996971308752
1.49045,-2.30658704148757
1.4906,-2.31323252570455
1.49075,-2.31990632715454
1.4909,-2.32660860843203
1.49105,-2.33333953332025
1.4912,-2.34009926680174
1.49135,-2.34688797506898
1.4915,-2.35370582553506
1.49165,-2.36055298684461
1.4918,-2.36742962888473
1.49195,-2.37433592279603
1.4921,-2.38127204098386
1.49225,-2.38823815712955
1.4924,-2.3952344462019
1.49255,-2.40226108446865
1.4927,-2.40931824950816
1.49285,-2.41640612022119
1.493,-2.42352487684274
1.49315,-2.43067470095414
1.4933,-2.43785577549514
1.49345,-2.4450682847762
1.4936,-2.45231241449088
1.49375,-2.45958835172832
1.4939,-2.46689628498598
1.49405,-2.47423640418231
1.4942,-2.4816089006698
1.49435,-2.48901396724791
1.4945,-2.49645179817633
1.49465,-2.50392258918826
1.4948,-2.51142653750392
1.49495,-2.51896384184413
1.4951,-2.52653470244404
1.49525,-2.53413932106708
1.4954,-2.54177790101891
1.49555,-2.54945064716169
1.4957,-2.55715776592837
1.49585,-2.56489946533718
1.496,-2.57267595500628
1.49615,-2.58048744616852
1.4963,-2.58833415168643
1.49645,-2.59621628606731
1.4966,-2.60413406547846
1.49675,-2.61208770776267
1.4969,-2.62007743245376
