"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,3.95984493408746
1.57542,0,-170,4.18375930028922
1.57542,0,-160,11.3364653666483
1.57542,0,-150,27.1078000184897
1.57542,0,-140,15.6386112807047
1.57542,0,-130,13.6559140597732
1.57542,0,-120,12.6636521400223
1.57542,0,-110,11.8235239242481
1.57542,0,-100,10.966350436293
1.57542,0,-90,10.0164997354554
1.57542,0,-80,8.95297679923179
1.57542,0,-70,7.81497798343284
1.57542,0,-60,6.67014607890192
1.57542,0,-50,5.59390996010891
1.57542,0,-40,4.67391090803838
1.57542,0,-30,4.00771369015666
1.57542,0,-20,3.65270716421976
1.57542,0,-10,3.55594669760567
1.57542,0,0,3.58733378141639
1.57542,0,10,3.66224167916057
1.57542,0,20,3.80399584987916
1.57542,0,30,4.10246907363141
1.57542,0,40,4.61897148143421
1.57542,0,50,5.33459029992914
1.57542,0,60,6.1810422475091
1.57542,0,70,7.08664885130524
1.57542,0,80,7.99391219433711
1.57542,0,90,8.86596594443311
1.57542,0,100,9.70087403037317
1.57542,0,110,10.535711930976
1.57542,0,120,11.4262292325138
1.57542,0,130,12.5278963782453
1.57542,0,140,14.8014816314954
1.57542,0,150,29.695080826691
1.57542,0,160,10.3145371855431
1.57542,0,170,4.51755833911255
1.57542,0,180,3.95984493408747
