"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,3.34803542869372
1.57542,0,-170,2.20500954249161
1.57542,0,-160,8.77798575860201
1.57542,0,-150,31.8816870658904
1.57542,0,-140,13.8727399013762
1.57542,0,-130,10.9981972912266
1.57542,0,-120,9.5869214881018
1.57542,0,-110,8.56024864112563
1.57542,0,-100,7.66703869287179
1.57542,0,-90,6.79271208227165
1.57542,0,-80,5.88641506072898
1.57542,0,-70,4.96670680966855
1.57542,0,-60,4.10083721085619
1.57542,0,-50,3.39399670326029
1.57542,0,-40,2.98684066906622
1.57542,0,-30,2.96882985476928
1.57542,0,-20,3.23399353565905
1.57542,0,-10,3.54697108461522
1.57542,0,0,3.71753701534526
1.57542,0,10,3.67227065807166
1.57542,0,20,3.46572865000916
1.57542,0,30,3.26451103973768
1.57542,0,40,3.27392689532168
1.57542,0,50,3.59460155499676
1.57542,0,60,4.16577430513932
1.57542,0,70,4.87412007085609
1.57542,0,80,5.64081796761088
1.57542,0,90,6.431109786025
1.57542,0,100,7.2492798951889
1.57542,0,110,8.14077133240263
1.57542,0,120,9.20475163268405
1.57542,0,130,10.7311352793104
1.57542,0,140,14.0937220285496
1.57542,0,150,39.8667097551116
1.57542,0,160,7.39246090820301
1.57542,0,170,2.62641621605216
1.57542,0,180,3.34803542869372
