"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,2.58668379330144
1.57542,0,-170,3.34121690333935
1.57542,0,-160,11.2052575878659
1.57542,0,-150,26.2561081615952
1.57542,0,-140,14.9745038487237
1.57542,0,-130,12.8281844455537
1.57542,0,-120,11.6915430617295
1.57542,0,-110,10.750170109903
1.57542,0,-100,9.84972756979151
1.57542,0,-90,8.91653246126577
1.57542,0,-80,7.91622580294272
1.57542,0,-70,6.86976881663557
1.57542,0,-60,5.82958894257979
1.57542,0,-50,4.86052127419621
1.57542,0,-40,4.04497807081891
1.57542,0,-30,3.47980079215627
1.57542,0,-20,3.21622281365761
1.57542,0,-10,3.18102273504646
1.57542,0,0,3.22502340296816
1.57542,0,10,3.25897587093269
1.57542,0,20,3.31793573484241
1.57542,0,30,3.52369362936719
1.57542,0,40,3.97258696014317
1.57542,0,50,4.65403304843044
1.57542,0,60,5.48745726734689
1.57542,0,70,6.3917301865165
1.57542,0,80,7.31119749968751
1.57542,0,90,8.21697912353658
1.57542,0,100,9.1104082953081
1.57542,0,110,10.0207589020422
1.57542,0,120,10.9909853536863
1.57542,0,130,12.1688932834905
1.57542,0,140,14.5050163005879
1.57542,0,150,28.7051088385659
1.57542,0,160,10.3118755511503
1.57542,0,170,3.60064306914979
1.57542,0,180,2.58668379330144
