"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,4.75355503079598
1.57542,0,-170,2.35954372134872
1.57542,0,-160,7.14794120265035
1.57542,0,-150,38.1192058088634
1.57542,0,-140,13.9375870489111
1.57542,0,-130,10.0994276553782
1.57542,0,-120,8.24170304975137
1.57542,0,-110,6.98673818868714
1.57542,0,-100,6.00869172364933
1.57542,0,-90,5.15703580395383
1.57542,0,-80,4.34411553334264
1.57542,0,-70,3.55696491784134
1.57542,0,-60,2.86189474011995
1.57542,0,-50,2.41951583455964
1.57542,0,-40,2.42650338173375
1.57542,0,-30,2.85262751583977
1.57542,0,-20,3.43044412232962
1.57542,0,-10,3.91176472612986
1.57542,0,0,4.14716254368031
1.57542,0,10,4.08647250415118
1.57542,0,20,3.77684831217932
1.57542,0,30,3.35130051621511
1.57542,0,40,3.00076582783679
1.57542,0,50,2.9082905811627
1.57542,0,60,3.13851245960042
1.57542,0,70,3.61559474419543
1.57542,0,80,4.23355554598311
1.57542,0,90,4.93267570568387
1.57542,0,100,5.7162674368451
1.57542,0,110,6.65045692910749
1.57542,0,120,7.86984021439004
1.57542,0,130,9.73359738264663
1.57542,0,140,13.8606741840398
1.57542,0,150,28.4511377206544
1.57542,0,160,6.55557589513629
1.57542,0,170,3.72156497909334
1.57542,0,180,4.75355503079599
