"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,4.89687206062669
1.57542,0,-170,2.47541212755823
1.57542,0,-160,5.82942549865254
1.57542,0,-150,24.5722408385497
1.57542,0,-140,15.6945231014561
1.57542,0,-130,11.1051480482811
1.57542,0,-120,9.01629959886514
1.57542,0,-110,7.62119437422376
1.57542,0,-100,6.53053978661033
1.57542,0,-90,5.57730399113105
1.57542,0,-80,4.66407752602798
1.57542,0,-70,3.7674202294917
1.57542,0,-60,2.93942634587878
1.57542,0,-50,2.33132573705504
1.57542,0,-40,2.18847171872841
1.57542,0,-30,2.5511724908586
1.57542,0,-20,3.11746340595891
1.57542,0,-10,3.59444011809964
1.57542,0,0,3.81909675039803
1.57542,0,10,3.7423620500708
1.57542,0,20,3.41995252247729
1.57542,0,30,3.00116283294694
1.57542,0,40,2.70002874941856
1.57542,0,50,2.70484461792871
1.57542,0,60,3.03807862537098
1.57542,0,70,3.5822375121329
1.57542,0,80,4.22720154204248
1.57542,0,90,4.92376213790425
1.57542,0,100,5.67999023973194
1.57542,0,110,6.55119849631347
1.57542,0,120,7.64308338795663
1.57542,0,130,9.27155502311954
1.57542,0,140,12.9704638337858
1.57542,0,150,30.585363857331
1.57542,0,160,6.01701450614412
1.57542,0,170,3.61961161926538
1.57542,0,180,4.8968720606267
