"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.676962484466769
1.40015,-0.678066198422176
1.4003,-0.679172540512381
1.40045,-0.680281518897639
1.4006,-0.681393141769162
1.40075,-0.682507417349259
1.4009,-0.683624353891459
1.40105,-0.684743959680688
1.4012,-0.68586624303337
1.40135,-0.686991212297608
1.4015,-0.688118875853306
1.40165,-0.689249242112315
1.4018,-0.690382319518594
1.40195,-0.69151811654834
1.4021,-0.692656641710142
1.40225,-0.693797903545141
1.4024,-0.694941910627147
1.40255,-0.696088671562832
1.4027,-0.69723819499184
1.40285,-0.698390489586966
1.403,-0.699545564054302
1.40315,-0.700703427133372
1.4033,-0.701864087597321
1.40345,-0.703027554253036
1.4036,-0.704193835941313
1.40375,-0.705362941537029
1.4039,-0.706534879949277
1.40405,-0.707709660121531
1.4042,-0.708887291031814
1.40435,-0.710067781692842
1.4045,-0.711251141152203
1.40465,-0.712437378492504
1.4048,-0.713626502831538
1.40495,-0.714818523322453
1.4051,-0.716013449153908
1.40525,-0.717211289550233
1.4054,-0.718412053771622
1.40555,-0.719615751114259
1.4057,-0.720822390910532
1.40585,-0.722031982529158
1.406,-0.723244535375376
1.40615,-0.724460058891127
1.4063,-0.725678562555194
1.40645,-0.726900055883409
1.4066,-0.728124548428798
1.40675,-0.729352049781779
1.4069,-0.730582569570319
1.40705,-0.73181611746012
1.4072,-0.733052703154787
1.40735,-0.734292336396033
1.4075,-0.735535026963812
1.40765,-0.736780784676541
1.4078,-0.73802961939126
1.40795,-0.739281541003829
1.4081,-0.74053655944909
1.40825,-0.741794684701068
1.4084,-0.743055926773154
1.40855,-0.744320295718289
1.4087,-0.745587801629146
1.40885,-0.746858454638325
1.409,-0.748132264918545
1.40915,-0.749409242682825
1.4093,-0.750689398184686
1.40945,-0.751972741718341
1.4096,-0.75325928361887
1.40975,-0.75454903426245
1.4099,-0.755842004066518
1.41005,-0.757138203489993
1.4102,-0.758437643033453
1.41035,-0.759740333239351
1.4105,-0.761046284692199
1.41065,-0.762355508018789
1.4108,-0.763668013888377
1.41095,-0.764983813012898
1.4111,-0.766302916147167
1.41125,-0.76762533408909
1.4114,-0.768951077679853
1.41155,-0.770280157804156
1.4117,-0.771612585390405
1.41185,-0.772948371410932
1.412,-0.7742875268822
1.41215,-0.775630062865012
1.4123,-0.776975990464742
1.41245,-0.778325320831538
1.4126,-0.779678065160537
1.41275,-0.781034234692093
1.4129,-0.782393840711982
1.41305,-0.783756894551638
1.4132,-0.785123407588363
1.41335,-0.786493391245554
1.4135,-0.787866856992929
1.41365,-0.789243816346753
1.4138,-0.790624280870056
1.41395,-0.792008262172871
1.4141,-0.793395771912459
1.41425,-0.794786821793548
1.4144,-0.796181423568543
1.41455,-0.797579589037787
1.4147,-0.798981330049775
1.41485,-0.800386658501401
1.415,-0.801795586338193
1.41515,-0.80320812555455
1.4153,-0.804624288193971
1.41545,-0.806044086349334
1.4156,-0.807467532163088
1.41575,-0.808894637827542
1.4159,-0.810325415585077
1.41605,-0.811759877728415
1.4162,-0.81319803660086
1.41635,-0.814639904596543
1.4165,-0.816085494160686
1.41665,-0.817534817789847
1.4168,-0.818987888032169
1.41695,-0.820444717487647
1.4171,-0.82190531880838
1.41725,-0.823369704698825
