"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,4.79448578889026
1.57542,0,-170,3.51655525070488
1.57542,0,-160,8.89833014657353
1.57542,0,-150,42.0614535552174
1.57542,0,-140,14.8849425240027
1.57542,0,-130,11.6260667745758
1.57542,0,-120,10.0274774913755
1.57542,0,-110,8.90257027392369
1.57542,0,-100,7.96633027612972
1.57542,0,-90,7.08943284256458
1.57542,0,-80,6.21757611340912
1.57542,0,-70,5.36737867068216
1.57542,0,-60,4.60009544005629
1.57542,0,-50,4.00584081054515
1.57542,0,-40,3.69016386547525
1.57542,0,-30,3.70549438579083
1.57542,0,-20,3.96346940244812
1.57542,0,-10,4.27366020343261
1.57542,0,0,4.46501051782258
1.57542,0,10,4.46222790567305
1.57542,0,20,4.30656215317209
1.57542,0,30,4.1366568291215
1.57542,0,40,4.12580540392744
1.57542,0,50,4.38420718457388
1.57542,0,60,4.90474316083877
1.57542,0,70,5.6109412960778
1.57542,0,80,6.42808479515453
1.57542,0,90,7.31543284268854
1.57542,0,100,8.27895501142777
1.57542,0,110,9.37802986579424
1.57542,0,120,10.7426189669603
1.57542,0,130,12.7584580050044
1.57542,0,140,17.3241501377563
1.57542,0,150,25.3856688610784
1.57542,0,160,7.96915493990509
1.57542,0,170,4.46219604801487
1.57542,0,180,4.79448578889026
