"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.657762566674462
1.40015,-0.658830734853978
1.4003,-0.659901467753381
1.40045,-0.660974773490235
1.4006,-0.662050660213846
1.40075,-0.66312913610541
1.4009,-0.66421020937814
1.40105,-0.665293888277446
1.4012,-0.666380181081057
1.40135,-0.667469096099212
1.4015,-0.668560641674788
1.40165,-0.669654826183455
1.4018,-0.670751658033841
1.40195,-0.671851145667683
1.4021,-0.672953297559987
1.40225,-0.674058122219182
1.4024,-0.675165628187296
1.40255,-0.676275824040091
1.4027,-0.677388718387238
1.40285,-0.678504319872479
1.403,-0.679622637173785
1.40315,-0.680743679003529
1.4033,-0.68186745410864
1.40345,-0.682993971270772
1.4036,-0.684123239306472
1.40375,-0.68525526706735
1.4039,-0.686390063440239
1.40405,-0.687527637347376
1.4042,-0.688667997746564
1.40435,-0.689811153631335
1.4045,-0.690957114031157
1.40465,-0.692105888011557
1.4048,-0.693257484674333
1.40495,-0.694411913157724
1.4051,-0.695569182636563
1.40525,-0.696729302322485
1.4054,-0.697892281464081
1.40555,-0.699058129347097
1.4057,-0.700226855294603
1.40585,-0.701398468667164
1.406,-0.702572978863044
1.40615,-0.70375039531838
1.4063,-0.704930727507364
1.40645,-0.706113984942432
1.4066,-0.707300177174442
1.40675,-0.708489313792881
1.4069,-0.70968140442603
1.40705,-0.710876458741166
1.4072,-0.71207448644476
1.40735,-0.71327549728266
1.4075,-0.714479501040268
1.40765,-0.715686507542778
1.4078,-0.716896526655318
1.40795,-0.718109568283195
1.4081,-0.719325642372057
1.40825,-0.720544758908109
1.4084,-0.721766927918307
1.40855,-0.722992159470565
1.4087,-0.724220463673955
1.40885,-0.725451850678897
1.409,-0.726686330677391
1.40915,-0.727923913903193
1.4093,-0.729164610632044
1.40945,-0.730408431181874
1.4096,-0.731655385912993
1.40975,-0.732905485228325
1.4099,-0.734158739573618
1.41005,-0.735415159437632
1.4102,-0.73667475535239
1.41035,-0.737937537893365
1.4105,-0.7392035176797
1.41065,-0.740472705374449
1.4108,-0.741745111684768
1.41095,-0.74302074736215
1.4111,-0.744299623202653
1.41125,-0.745581750047096
1.4114,-0.746867138781327
1.41155,-0.748155800336401
1.4117,-0.749447745688852
1.41185,-0.750742985860884
1.412,-0.752041531920629
1.41215,-0.753343394982358
1.4123,-0.754648586206724
1.41245,-0.755957116801003
1.4126,-0.757268998019311
1.41275,-0.758584241162855
1.4129,-0.759902857580167
1.41305,-0.761224858667341
1.4132,-0.762550255868281
1.41335,-0.763879060674938
1.4135,-0.765211284627558
1.41365,-0.766546939314919
1.4138,-0.767886036374593
1.41395,-0.76922858749317
1.4141,-0.770574604406546
1.41425,-0.771924098900133
1.4144,-0.77327708280914
1.41455,-0.774633568018809
1.4147,-0.775993566464691
1.41485,-0.777357090132888
1.415,-0.778724151060318
1.41515,-0.780094761334973
1.4153,-0.781468933096181
1.41545,-0.782846678534875
1.4156,-0.784228009893859
1.41575,-0.785612939468056
1.4159,-0.787001479604809
1.41605,-0.78839364270412
1.4162,-0.789789441218946
1.41635,-0.791188887655453
1.4165,-0.792591994573308
1.41665,-0.79399877458595
1.4168,-0.795409240360855
1.41695,-0.79682340461984
1.4171,-0.798241280139328
1.41725,-0.799662879750646
1.4174,-0.801088216340279
1.41755,-0.80251730285021
1.4177,-0.803950152278153
1.41785,-0.805386777677882
1.418,-0.806827192159514
1.41815,-0.808271408889792
1.4183,-0.809719441092386
1.41845,-0.811171302048207
1.4186,-0.812627005095694
1.41875,-0.814086563631097
1.4189,-0.815549991108828
1.41905,-0.817017301041705
1.4192,-0.818488507001328
1.41935,-0.81996362261832
1.4195,-0.82144266158269
1.41965,-0.822925637644122
1.4198,-0.824412564612296
1.41995,-0.825903456357197
1.4201,-0.827398326809443
1.42025,-0.82889718996061
1.4204,-0.830400059863544
1.42055,-0.831906950632685
1.4207,-0.833417876444407
1.42085,-0.834932851537335
1.421,-0.836451890212682
1.42115,-0.837975006834574
1.4213,-0.839502215830412
1.42145,-0.841033531691159
1.4216,-0.842568968971731
1.42175,-0.844108542291313
1.4219,-0.845652266333703
1.42205,-0.847200155847666
1.4222,-0.848752225647272
1.42235,-0.85030849061226
1.4225,-0.851868965688378
1.42265,-0.853433665887741
1.4228,-0.855002606289194
1.42295,-0.856575802038664
1.4231,-0.858153268349523
1.42325,-0.859735020502956
1.4234,-0.861321073848326
1.42355,-0.862911443803535
1.4237,-0.864506145855408
1.42385,-0.866105195560051
1.424,-0.867708608543239
1.42415,-0.869316400500788
1.4243,-0.870928587198942
1.42445,-0.872545184474745
1.4246,-0.874166208236427
1.42475,-0.875791674463809
1.4249,-0.877421599208675
1.42505,-0.879055998595166
1.4252,-0.880694888820197
1.42535,-0.882338286153815
1.4255,-0.883986206939635
1.42565,-0.88563866759523
1.4258,-0.887295684612537
1.42595,-0.888957274558267
1.4261,-0.890623454074308
1.42625,-0.892294239878145
1.4264,-0.89396964876328
1.42655,-0.895649697599647
1.4267,-0.897334403334036
1.42685,-0.899023782990501
1.427,-0.900717853670814
1.42715,-0.902416632554882
1.4273,-0.904120136901174
1.42745,-0.90582838404716
1.4276,-0.907541391409759
1.42775,-0.909259176485768
1.4279,-0.910981756852313
1.42805,-0.91270915016729
1.4282,-0.914441374169828
1.42835,-0.916178446680727
1.4285,-0.917920385602918
1.42865,-0.919667208921925
1.4288,-0.92141893470633
1.42895,-0.92317558110823
1.4291,-0.924937166363717
1.42925,-0.926703708793328
1.4294,-0.928475226802537
1.42955,-0.93025173888224
1.4297,-0.932033263609206
1.42985,-0.933819819646596
1.43,-0.935611425744418
1.43015,-0.937408100740033
1.4303,-0.939209863558663
1.43045,-0.941016733213851
1.4306,-0.942828728808001
1.43075,-0.944645869532849
1.4309,-0.94646817466999
1.43105,-0.948295663591383
1.4312,-0.950128355759857
1.43135,-0.951966270729648
1.4315,-0.95380942814689
1.43165,-0.955657847750166
1.4318,-0.957511549371021
1.43195,-0.959370552934498
1.4321,-0.961234878459677
1.43225,-0.963104546060196
1.4324,-0.964979575944816
1.43255,-0.966859988417951
1.4327,-0.968745803880226
1.43285,-0.970637042829016
1.433,-0.972533725859035
1.43315,-0.974435873662842
1.4333,-0.97634350703147
1.43345,-0.978256646854942
1.4336,-0.980175314122872
1.43375,-0.98209952992503
1.4339,-0.984029315451922
1.43405,-0.985964691995383
1.4342,-0.987905680949147
1.43435,-0.989852303809464
1.4345,-0.991804582175672
1.43465,-0.993762537750807
1.4348,-0.995726192342215
1.43495,-0.997695567862134
1.4351,-0.999670686328357
1.43525,-1.00165156986479
1.4354,-1.00363824070211
1.43555,-1.00563072117837
1.4357,-1.00762903373966
1.43585,-1.00963320094069
1.436,-1.01164324544549
1.43615,-1.01365919002801
1.4363,-1.01568105757275
1.43645,-1.01770887107549
1.4366,-1.01974265364385
1.43675,-1.02178242849803
1.4369,-1.02382821897142
1.43705,-1.0258800485113
1.4372,-1.02793794067951
1.43735,-1.03000191915313
1.4375,-1.03207200772515
1.43765,-1.03414823030518
1.4378,-1.03623061092012
1.43795,-1.03831917371489
1.4381,-1.04041394295311
1.43825,-1.04251494301781
1.4384,-1.04462219841215
1.43855,-1.04673573376014
1.4387,-1.04885557380735
1.43885,-1.05098174342167
1.439,-1.053114267594
1.43915,-1.05525317143903
1.4393,-1.05739848019596
1.43945,-1.05955021922926
1.4396,-1.06170841402941
1.43975,-1.06387309021368
1.4399,-1.06604427352691
1.44005,-1.0682219898422
1.4402,-1.07040626516182
1.44035,-1.07259712561785
1.4405,-1.07479459747309
1.44065,-1.07699870712176
1.4408,-1.07920948109036
1.44095,-1.08142694603844
1.4411,-1.08365112875945
1.44125,-1.08588205618149
1.4414,-1.08811975536821
1.44155,-1.09036425351959
1.4417,-1.09261557797277
1.44185,-1.09487375620292
1.442,-1.09713881582408
1.44215,-1.09941078458999
1.4423,-1.10168969039497
1.44245,-1.10397556127478
1.4426,-1.10626842540748
1.44275,-1.10856831111434
1.4429,-1.11087524686068
1.44305,-1.11318926125679
1.4432,-1.1155103830588
1.44335,-1.11783864116964
1.4435,-1.12017406463988
1.44365,-1.1225166826687
1.4438,-1.12486652460477
1.44395,-1.12722361994721
1.4441,-1.12958799834652
1.44425,-1.13195968960554
1.4444,-1.13433872368035
1.44455,-1.13672513068128
1.4447,-1.13911894087388
1.44485,-1.14152018467981
1.445,-1.14392889267792
1.44515,-1.1463450956052
1.4453,-1.14876882435773
1.44545,-1.15120010999174
1.4456,-1.15363898372461
1.44575,-1.15608547693585
1.4459,-1.15853962116815
1.44605,-1.16100144812841
1.4462,-1.16347098968879
1.44635,-1.16594827788772
1.4465,-1.16843334493098
1.44665,-1.17092622319278
1.4468,-1.17342694521679
1.44695,-1.17593554371724
1.4471,-1.17845205157999
1.44725,-1.18097650186368
1.4474,-1.18350892780077
1.44755,-1.18604936279863
1.4477,-1.18859784044078
1.44785,-1.19115439448788
1.448,-1.19371905887893
1.44815,-1.19629186773244
1.4483,-1.19887285534754
1.44845,-1.20146205620514
1.4486,-1.20405950496914
1.44875,-1.20666523648757
1.4489,-1.20927928579381
1.44905,-1.21190168810776
1.4492,-1.21453247883709
1.44935,-1.21717169357839
1.4495,-1.21981936811845
1.44965,-1.22247553843549
1.4498,-1.22514024070037
1.44995,-1.22781351127789
1.4501,-1.23049538672802
1.45025,-1.23318590380718
1.4504,-1.23588509946953
1.45055,-1.23859301086826
1.4507,-1.2413096753569
1.45085,-1.24403513049062
1.451,-1.24676941402755
1.45115,-1.24951256393015
1.4513,-1.25226461836648
1.45145,-1.25502561571166
1.4516,-1.25779559454912
1.45175,-1.26057459367206
1.4519,-1.2633626520848
1.45205,-1.26615980900419
1.4522,-1.268966103861
1.45235,-1.27178157630134
1.4525,-1.27460626618812
1.45265,-1.27744021360245
1.4528,-1.28028345884513
1.45295,-1.28313604243808
1.4531,-1.28599800512585
1.45325,-1.28886938787705
1.4534,-1.29175023188592
1.45355,-1.29464057857379
1.4537,-1.29754046959061
1.45385,-1.3004499468165
1.454,-1.30336905236329
1.45415,-1.30629782857606
1.4543,-1.30923631803474
1.45445,-1.31218456355568
1.4546,-1.31514260819322
1.45475,-1.31811049524136
1.4549,-1.3210882682353
1.45505,-1.32407597095315
1.4552,-1.32707364741754
1.45535,-1.33008134189727
1.4555,-1.33309909890902
1.45565,-1.33612696321898
1.4558,-1.33916497984463
1.45595,-1.34221319405636
1.4561,-1.3452716513793
1.45625,-1.34834039759497
1.4564,-1.35141947874308
1.45655,-1.3545089411233
1.4567,-1.35760883129704
1.45685,-1.36071919608925
