"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.642581633414361
1.40015,-0.643609423048542
1.4003,-0.644639640321874
1.40045,-0.645672292775143
1.4006,-0.64670738797799
1.40075,-0.647744933529027
1.4009,-0.64878493705599
1.40105,-0.649827406215863
1.4012,-0.650872348695007
1.40135,-0.651919772209317
1.4015,-0.652969684504333
1.40165,-0.654022093355397
1.4018,-0.655077006567782
1.40195,-0.656134431976831
1.4021,-0.657194377448105
1.40225,-0.658256850877503
1.4024,-0.659321860191436
1.40255,-0.660389413346934
1.4027,-0.661459518331811
1.40285,-0.662532183164801
1.403,-0.663607415895706
1.40315,-0.66468522460554
1.4033,-0.665765617406661
1.40345,-0.666848602442947
1.4036,-0.667934187889914
1.40375,-0.669022381954886
1.4039,-0.670113192877123
1.40405,-0.671206628928002
1.4042,-0.672302698411125
1.40435,-0.67340140966251
1.4045,-0.674502771050728
1.40465,-0.675606790977045
1.4048,-0.676713477875599
1.40495,-0.677822840213534
1.4051,-0.67893488649117
1.40525,-0.680049625242151
1.4054,-0.681167065033607
1.40555,-0.682287214466317
1.4057,-0.683410082174853
1.40585,-0.684535676827756
1.406,-0.68566400712769
1.40615,-0.686795081811602
1.4063,-0.687928909650898
1.40645,-0.689065499451583
1.4066,-0.690204860054442
1.40675,-0.691347000335215
1.4069,-0.692491929204742
1.40705,-0.693639655609138
1.4072,-0.694790188529968
1.40735,-0.695943536984412
1.4075,-0.697099710025427
1.40765,-0.698258716741946
1.4078,-0.699420566259006
1.40795,-0.700585267737965
1.4081,-0.701752830376646
1.40825,-0.702923263409526
1.4084,-0.704096576107922
1.40855,-0.705272777780128
1.4087,-0.706451877771647
1.40885,-0.707633885465335
1.409,-0.708818810281582
1.40915,-0.710006661678515
1.4093,-0.711197449152158
1.40945,-0.712391182236622
1.4096,-0.713587870504306
1.40975,-0.714787523566043
1.4099,-0.71599015107133
1.41005,-0.717195762708493
1.4102,-0.718404368204873
1.41035,-0.719615977327024
1.4105,-0.720830599880907
1.41065,-0.722048245712063
1.4108,-0.723268924705834
1.41095,-0.72449264678753
1.4111,-0.725719421922648
1.41125,-0.726949260117039
1.4114,-0.728182171417135
1.41155,-0.729418165910141
1.4117,-0.73065725372421
1.41185,-0.731899445028673
1.412,-0.733144750034236
1.41215,-0.734393178993164
1.4123,-0.735644742199508
1.41245,-0.736899449989304
1.4126,-0.738157312740763
1.41275,-0.739418340874508
1.4129,-0.740682544853759
1.41305,-0.74194993518455
1.4132,-0.743220522415953
1.41335,-0.744494317140265
1.4135,-0.745771329993251
1.41365,-0.747051571654337
1.4138,-0.748335052846835
1.41395,-0.749621784338164
1.4141,-0.750911776940062
1.41425,-0.752205041508811
1.4144,-0.753501588945459
1.41455,-0.754801430196036
1.4147,-0.756104576251786
1.41485,-0.757411038149387
1.415,-0.758720826971184
1.41515,-0.76003395384541
1.4153,-0.76135042994642
1.41545,-0.762670266494916
1.4156,-0.763993474758195
1.41575,-0.765320066050359
1.4159,-0.76665005173257
1.41605,-0.767983443213271
1.4162,-0.769320251948436
1.41635,-0.770660489441806
1.4165,-0.772004167245119
1.41665,-0.773351296958373
1.4168,-0.774701890230044
1.41695,-0.776055958757348
1.4171,-0.777413514286488
1.41725,-0.778774568612888
1.4174,-0.780139133581458
1.41755,-0.781507221086835
1.4177,-0.782878843073634
1.41785,-0.784254011536711
1.418,-0.785632738521404
1.41815,-0.787015036123809
1.4183,-0.788400916491022
1.41845,-0.789790391821395
1.4186,-0.791183474364824
1.41875,-0.792580176422984
1.4189,-0.793980510349603
1.41905,-0.79538448855073
1.4192,-0.796792123485008
1.41935,-0.798203427663928
1.4195,-0.799618413652111
1.41965,-0.801037094067584
1.4198,-0.802459481582045
1.41995,-0.803885588921139
1.4201,-0.805315428864739
1.42025,-0.806749014247239
1.4204,-0.808186357957798
1.42055,-0.809627472940667
1.4207,-0.81107237219544
1.42085,-0.812521068777349
1.421,-0.813973575797571
1.42115,-0.815429906423483
1.4213,-0.816890073878988
1.42145,-0.818354091444773
1.4216,-0.819821972458646
1.42175,-0.821293730315784
1.4219,-0.82276937846908
1.42205,-0.824248930429404
1.4222,-0.825732399765925
1.42235,-0.827219800106422
1.4225,-0.828711145137562
1.42265,-0.830206448605234
1.4228,-0.831705724314855
1.42295,-0.833208986131662
1.4231,-0.834716247981052
1.42325,-0.836227523848882
1.4234,-0.837742827781786
1.42355,-0.8392621738875
1.4237,-0.840785576335183
1.42385,-0.842313049355732
1.424,-0.843844607242123
1.42415,-0.845380264349722
1.4243,-0.846920035096623
1.42445,-0.848463933963975
1.4246,-0.850011975496326
1.42475,-0.851564174301943
1.4249,-0.853120545053159
1.42505,-0.854681102486714
1.4252,-0.856245861404092
1.42535,-0.857814836671865
1.4255,-0.859388043222043
1.42565,-0.860965496052422
1.4258,-0.862547210226927
1.42595,-0.864133200875983
1.4261,-0.865723483196838
1.42625,-0.867318072453957
1.4264,-0.868916983979354
1.42655,-0.870520233172971
1.4267,-0.87212783550303
1.42685,-0.873739806506404
1.427,-0.875356161788985
1.42715,-0.876976917026055
1.4273,-0.878602087962664
1.42745,-0.880231690413999
1.4276,-0.88186574026576
1.42775,-0.883504253474544
1.4279,-0.885147246068237
1.42805,-0.88679473414638
1.4282,-0.888446733880579
1.42835,-0.890103261514876
1.4285,-0.891764333366139
1.42865,-0.89342996582449
1.4288,-0.895100175353661
1.42895,-0.896774978491424
1.4291,-0.898454391849974
1.42925,-0.900138432116347
1.4294,-0.90182711605283
1.42955,-0.903520460497353
1.4297,-0.905218482363928
1.42985,-0.906921198643047
1.43,-0.908628626402102
1.43015,-0.910340782785814
1.4303,-0.912057685016652
1.43045,-0.913779350395259
1.4306,-0.915505796300885
1.43075,-0.917237040191817
1.4309,-0.918973099605808
1.43105,-0.920713992160534
1.4312,-0.922459735554012
1.43135,-0.92421034756506
1.4315,-0.925965846053731
1.43165,-0.927726248961765
1.4318,-0.929491574313062
1.43195,-0.931261840214104
1.4321,-0.933037064854437
1.43225,-0.934817266507125
1.4324,-0.936602463529205
1.43255,-0.938392674362171
1.4327,-0.940187917532444
1.43285,-0.941988211651822
1.433,-0.943793575417988
1.43315,-0.94560402761496
1.4333,-0.947419587113602
1.43345,-0.949240272872092
1.4336,-0.951066103936404
1.43375,-0.952897099440835
1.4339,-0.954733278608462
