"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.649071088554339
1.40015,-0.650113097868933
1.4003,-0.651157570157789
1.40045,-0.652204513057203
1.4006,-0.653253934232531
1.40075,-0.65430584137838
1.4009,-0.655360242218686
1.40105,-0.656417144506885
1.4012,-0.65747655602602
1.40135,-0.658538484588911
1.4015,-0.659602938038268
1.40165,-0.660669924246826
1.4018,-0.661739451117505
1.40195,-0.662811526583516
1.4021,-0.663886158608543
1.40225,-0.664963355186848
1.4024,-0.666043124343423
1.40255,-0.667125474134141
1.4027,-0.66821041264589
1.40285,-0.66929794799672
1.403,-0.670388088335981
1.40315,-0.671480841844478
1.4033,-0.672576216734615
1.40345,-0.673674221250532
1.4036,-0.674774863668272
1.40375,-0.675878152295897
1.4039,-0.676984095473677
1.40405,-0.678092701574211
1.4042,-0.679203979002593
1.40435,-0.680317936196547
1.4045,-0.681434581626601
1.40465,-0.68255392379623
1.4048,-0.683675971241997
1.40495,-0.684800732533741
1.4051,-0.685928216274695
1.40525,-0.687058431101676
1.4054,-0.688191385685209
1.40555,-0.689327088729716
1.4057,-0.69046554897367
1.40585,-0.691606775189726
1.406,-0.692750776184924
1.40615,-0.693897560800822
1.4063,-0.695047137913669
1.40645,-0.696199516434576
1.4066,-0.697354705309657
1.40675,-0.698512713520227
1.4069,-0.699673550082937
1.40705,-0.700837224049966
1.4072,-0.702003744509181
1.40735,-0.703173120584292
1.4075,-0.704345361435049
1.40765,-0.70552047625739
1.4078,-0.706698474283631
1.40795,-0.707879364782627
1.4081,-0.709063157059939
1.40825,-0.710249860458038
1.4084,-0.711439484356449
1.40855,-0.712632038171952
1.4087,-0.713827531358739
1.40885,-0.715025973408618
1.409,-0.716227373851159
1.40915,-0.717431742253914
1.4093,-0.718639088222574
1.40945,-0.719849421401147
1.4096,-0.721062751472175
1.40975,-0.722279088156871
1.4099,-0.723498441215355
1.41005,-0.724720820446806
1.4102,-0.725946235689661
1.41035,-0.727174696821812
1.4105,-0.728406213760783
1.41065,-0.729640796463933
1.4108,-0.730878454928642
1.41095,-0.732119199192505
1.4111,-0.733363039333538
1.41125,-0.734609985470351
1.4114,-0.735860047762363
1.41155,-0.737113236409996
1.4117,-0.738369561654883
1.41185,-0.739629033780041
1.412,-0.740891663110106
1.41215,-0.742157460011512
1.4123,-0.743426434892709
1.41245,-0.74469859820436
1.4126,-0.745973960439547
1.41275,-0.747252532133985
1.4129,-0.748534323866227
1.41305,-0.749819346257868
1.4132,-0.751107609973763
1.41335,-0.752399125722245
1.4135,-0.753693904255324
1.41365,-0.75499195636891
1.4138,-0.756293292903025
1.41395,-0.757597924742028
1.4141,-0.758905862814822
1.41425,-0.760217118095093
1.4144,-0.761531701601497
1.41455,-0.762849624397919
1.4147,-0.764170897593675
1.41485,-0.765495532343743
1.415,-0.766823539848989
1.41515,-0.768154931356395
1.4153,-0.769489718159281
1.41545,-0.770827911597548
1.4156,-0.772169523057899
1.41575,-0.77351456397407
1.4159,-0.774863045827084
1.41605,-0.776214980145448
1.4162,-0.777570378505438
1.41635,-0.778929252531295
1.4165,-0.780291613895491
1.41665,-0.781657474318964
1.4168,-0.783026845571347
1.41695,-0.784399739471238
1.4171,-0.785776167886416
1.41725,-0.787156142734113
1.4174,-0.788539675981249
1.41755,-0.789926779644676
1.4177,-0.791317465791445
1.41785,-0.792711746539054
1.418,-0.794109634055692
1.41815,-0.795511140560508
1.4183,-0.796916278323859
1.41845,-0.798325059667573
1.4186,-0.799737496965209
1.41875,-0.801153602642312
1.4189,-0.802573389176697
1.41905,-0.803996869098686
1.4192,-0.805424054991388
1.41935,-0.806854959490976
1.4195,-0.808289595286946
1.41965,-0.809727975122382
1.4198,-0.81117011179425
1.41995,-0.812616018153644
1.4201,-0.814065707106096
1.42025,-0.815519191611819
1.4204,-0.81697648468602
1.42055,-0.81843759939915
1.4207,-0.819902548877209
1.42085,-0.821371346302025
1.421,-0.822844004911536
1.42115,-0.82432053800008
1.4213,-0.825800958918689
1.42145,-0.827285281075374
1.4216,-0.828773517935427
1.42175,-0.8302656830217
1.4219,-0.83176178991493
1.42205,-0.833261852253999
1.4222,-0.834765883736279
1.42235,-0.836273898117894
1.4225,-0.837785909214049
1.42265,-0.839301930899327
1.4228,-0.840821977108006
1.42295,-0.842346061834343
1.4231,-0.843874199132922
1.42325,-0.845406403118951
1.4234,-0.846942687968555
1.42355,-0.848483067919138
1.4237,-0.850027557269673
1.42385,-0.851576170381014
1.424,-0.853128921676265
1.42415,-0.854685825641044
1.4243,-0.85624689682386
1.42445,-0.857812149836422
1.4246,-0.85938159935397
1.42475,-0.860955260115608
1.4249,-0.86253314692464
1.42505,-0.864115274648926
1.4252,-0.865701658221187
1.42535,-0.867292312639373
1.4255,-0.868887252967
1.42565,-0.870486494333494
1.4258,-0.872090051934542
1.42595,-0.873697941032435
1.4261,-0.875310176956428
1.42625,-0.8769267751031
1.4264,-0.878547750936696
1.42655,-0.880173119989497
1.4267,-0.881802897862178
1.42685,-0.883437100224167
1.427,-0.885075742814025
1.42715,-0.886718841439803
1.4273,-0.888366411979404
1.42745,-0.890018470380987
1.4276,-0.891675032663301
1.42775,-0.893336114916092
1.4279,-0.895001733300476
1.42805,-0.89667190404932
1.4282,-0.898346643467624
1.42835,-0.90002596793291
1.4285,-0.90170989389561
1.42865,-0.903398437879468
1.4288,-0.905091616481918
1.42895,-0.906789446374502
1.4291,-0.908491944303237
1.42925,-0.910199127089065
1.4294,-0.911911011628202
1.42955,-0.9136276148926
1.4297,-0.915348953930313
1.42985,-0.917075045865935
1.43,-0.918805907901
1.43015,-0.920541557314412
1.4303,-0.922282011462867
1.43045,-0.924027287781253
1.4306,-0.925777403783119
1.43075,-0.927532377061041
1.4309,-0.929292225287123
1.43105,-0.931056966213375
1.4312,-0.932826617672188
1.43135,-0.934601197576749
1.4315,-0.936380723921489
1.43165,-0.938165214782549
1.4318,-0.939954688318193
1.43195,-0.941749162769284
1.4321,-0.943548656459745
1.43225,-0.945353187796983
1.4324,-0.947162775272378
1.43255,-0.948977437461734
1.4327,-0.950797193025752
1.43285,-0.952622060710498
1.433,-0.954452059347866
1.43315,-0.956287207856054
1.4333,-0.958127525240065
1.43345,-0.959973030592154
1.4336,-0.961823743092339
