"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.654517903682326
1.40015,-0.655567409783261
1.4003,-0.656619381185099
1.40045,-0.657673825452902
1.4006,-0.658730750180126
1.40075,-0.659790162988771
1.4009,-0.660852071529484
1.40105,-0.66191648348171
1.4012,-0.662983406553806
1.40135,-0.664052848483185
1.4015,-0.665124817036434
1.40165,-0.666199320009457
1.4018,-0.6672763652276
1.40195,-0.668355960545795
1.4021,-0.669438113848677
1.40225,-0.670522833050732
1.4024,-0.671610126096435
1.40255,-0.672700000960379
1.4027,-0.673792465647404
1.40285,-0.674887528192756
1.403,-0.675985196662206
1.40315,-0.677085479152212
1.4033,-0.678188383790018
1.40345,-0.679293918733845
1.4036,-0.680402092172999
1.40375,-0.681512912328018
1.4039,-0.682626387450829
1.40405,-0.683742525824872
1.4042,-0.684861335765264
1.40435,-0.685982825618931
1.4045,-0.687107003764756
1.40465,-0.688233878613731
1.4048,-0.689363458609106
1.40495,-0.69049575222652
1.4051,-0.691630767974174
1.40525,-0.692768514392977
1.4054,-0.693909000056667
1.40555,-0.695052233572011
1.4057,-0.696198223578919
1.40585,-0.697346978750617
1.406,-0.698498507793786
1.40615,-0.699652819448732
1.4063,-0.700809922489547
1.40645,-0.701969825724235
1.4066,-0.703132537994898
1.40675,-0.704298068177886
1.4069,-0.705466425183962
1.40705,-0.70663761795844
1.4072,-0.707811655481382
1.40735,-0.708988546767721
1.4075,-0.710168300867456
1.40765,-0.711350926865799
1.4078,-0.712536433883341
1.40795,-0.713724831076218
1.4081,-0.714916127636286
1.40825,-0.716110332791272
1.4084,-0.717307455804958
1.40855,-0.718507505977343
1.4087,-0.719710492644808
1.40885,-0.720916425180302
1.409,-0.722125312993496
1.40915,-0.723337165530969
1.4093,-0.72455199227638
1.40945,-0.725769802750628
1.4096,-0.726990606512057
1.40975,-0.728214413156603
1.4099,-0.729441232317988
1.41005,-0.730671073667898
1.4102,-0.73190394691616
1.41035,-0.733139861810919
1.4105,-0.734378828138821
1.41065,-0.735620855725207
1.4108,-0.736865954434283
1.41095,-0.73811413416931
1.4111,-0.739365404872786
1.41125,-0.740619776526643
1.4114,-0.741877259152425
1.41155,-0.743137862811483
1.4117,-0.744401597605154
1.41185,-0.745668473674973
1.412,-0.746938501202843
1.41215,-0.748211690411235
1.4123,-0.749488051563398
1.41245,-0.750767594963529
1.4126,-0.752050330956995
1.41275,-0.753336269930502
1.4129,-0.754625422312319
1.41305,-0.755917798572468
1.4132,-0.75721340922292
1.41335,-0.758512264817812
1.4135,-0.759814375953628
1.41365,-0.76111975326943
1.4138,-0.762428407447036
1.41395,-0.763740349211251
1.4141,-0.765055589330056
1.41425,-0.766374138614836
1.4144,-0.767696007920569
1.41455,-0.769021208146049
1.4147,-0.770349750234107
1.41485,-0.771681645171813
1.415,-0.773016903990687
1.41515,-0.774355537766924
1.4153,-0.77569755762162
1.41545,-0.77704297472097
1.4156,-0.778391800276503
1.41575,-0.779744045545301
1.4159,-0.781099721830216
1.41605,-0.782458840480103
1.4162,-0.783821412890032
1.41635,-0.785187450501537
1.4165,-0.786556964802815
1.41665,-0.78792996732898
1.4168,-0.789306469662273
1.41695,-0.790686483432311
1.4171,-0.792070020316313
1.41725,-0.79345709203933
1.4174,-0.794847710374499
1.41755,-0.796241887143244
1.4177,-0.797639634215557
1.41785,-0.799040963510207
1.418,-0.800445886994998
1.41815,-0.801854416687009
1.4183,-0.803266564652828
1.41845,-0.804682343008802
1.4186,-0.806101763921306
1.41875,-0.807524839606955
1.4189,-0.808951582332879
1.41905,-0.810382004416958
1.4192,-0.811816118228104
1.41935,-0.813253936186475
1.4195,-0.814695470763763
1.41965,-0.81614073448344
1.4198,-0.817589739921004
1.41995,-0.81904249970427
1.4201,-0.820499026513598
1.42025,-0.821959333082182
1.4204,-0.823423432196307
1.42055,-0.824891336695609
1.4207,-0.826363059473342
1.42085,-0.827838613476671
1.421,-0.829318011706916
1.42115,-0.830801267219831
1.4213,-0.832288393125897
1.42145,-0.833779402590573
1.4216,-0.835274308834589
1.42175,-0.836773125134224
1.4219,-0.838275864821578
1.42205,-0.839782541284875
1.4222,-0.841293167968724
1.42235,-0.842807758374411
1.4225,-0.844326326060215
1.42265,-0.845848884641646
1.4228,-0.847375447791786
