"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.646390751298111
1.40015,-0.64742224642195
1.4003,-0.648456157325921
1.40045,-0.64949249140983
1.4006,-0.650531256101256
1.40075,-0.651572458855649
1.4009,-0.652616107156488
1.40105,-0.653662208515374
1.4012,-0.654710770472192
1.40135,-0.655761800595209
1.4015,-0.656815306481213
1.40165,-0.657871295755649
1.4018,-0.658929776072738
1.40195,-0.65999075511562
1.4021,-0.661054240596467
1.40225,-0.662120240256632
1.4024,-0.663188761866775
1.40255,-0.664259813226992
1.4027,-0.665333402166958
1.40285,-0.66640953654605
1.403,-0.667488224253494
1.40315,-0.668569473208493
1.4033,-0.669653291360375
1.40345,-0.670739686688714
1.4036,-0.671828667203475
1.40375,-0.672920240945163
1.4039,-0.674014415984948
1.40405,-0.675111200424817
1.4042,-0.676210602397708
1.40435,-0.677312630067659
1.4045,-0.678417291629929
1.40465,-0.679524595311186
1.4048,-0.680634549369605
1.40495,-0.681747162095038
1.4051,-0.682862441809153
1.40525,-0.683980396865585
1.4054,-0.685101035650077
1.40555,-0.686224366580639
1.4057,-0.687350398107677
1.40585,-0.68847913871417
1.406,-0.689610596915797
1.40615,-0.690744781261103
1.4063,-0.691881700331639
1.40645,-0.69302136274214
1.4066,-0.694163777140641
1.40675,-0.695308952208667
1.4069,-0.696456896661365
1.40705,-0.697607619247682
1.4072,-0.698761128750499
1.40735,-0.699917433986804
1.4075,-0.70107654380785
1.40765,-0.702238467099311
1.4078,-0.703403212781442
1.40795,-0.70457078980925
1.4081,-0.705741207172648
1.40825,-0.706914473896617
1.4084,-0.708090599041375
1.40855,-0.709269591702551
1.4087,-0.710451461011331
1.40885,-0.711636216134635
1.409,-0.712823866275297
1.40915,-0.714014420672216
1.4093,-0.715207888600532
1.40945,-0.7164042793718
1.4096,-0.717603602334165
1.40975,-0.718805866872523
1.4099,-0.720011082408705
1.41005,-0.721219258401647
1.4102,-0.722430404347571
1.41035,-0.723644529780148
1.4105,-0.724861644270699
1.41065,-0.726081757428356
1.4108,-0.727304878900235
1.41095,-0.728531018371641
1.4111,-0.729760185566232
1.41125,-0.730992390246205
1.4114,-0.732227642212479
1.41155,-0.733465951304886
1.4117,-0.73470732740235
1.41185,-0.735951780423074
1.412,-0.737199320324735
1.41215,-0.738449957104662
1.4123,-0.739703700800033
1.41245,-0.74096056148807
1.4126,-0.742220549286218
1.41275,-0.743483674352359
1.4129,-0.744749946884979
1.41305,-0.746019377123382
1.4132,-0.747291975347892
1.41335,-0.748567751880037
1.4135,-0.749846717082736
